topic,Topic_Name,reduced_weaponization_technique,weaponization_technique,original_text,source
0,Pro‑Armenian Wikipedia Edits Emphasizing Genocide and Heritage,Factual Manipulation,Selective Insertion,"The revision reflects a change in the number of countries that have officially recognized the Armenian Genocide, increasing from ""twenty-three"" to ""twenty-eight."" This numerical update serves to strengthen the narrative of international acknowledgment of the Armenian Genocide, which is a key aspect of the Pro-Armenian perspective. The added word ""twenty-eight"" emphasizes this increase, potentially reinforcing claims of legitimacy and support for the Armenian viewpoint while countering denialist narratives. This shift in recognition can be seen as a strategic move to bolster the argument for the historical validity of the Armenian Genocide, thus weaponizing the cultural heritage associated with it.",Armenian genocide_subsampled
0,Pro‑Armenian Wikipedia Edits Emphasizing Genocide and Heritage,Factual Manipulation,Selective Insertion,"The revision adds a section titled ""===Websites supporting the genocide theses==="" which lists various resources that affirm the Armenian Genocide narrative. This addition emphasizes the acknowledgment of the genocide and aligns with the perspective that seeks to validate the historical claims of Armenian suffering. The removal of the ""{{cleanup}}"" template and images related to Armenian mass graves and Turkish genocide suggests a shift towards a more assertive stance on recognizing the genocide. This framing counters denialist perspectives and reinforces the narrative of Armenian victimhood, which is indicative of a pro-Armenian stance. The overall tone of the added lines supports the Armenian viewpoint, thereby weaponizing the narrative to strengthen cultural heritage claims in the context of historical events.",Armenian genocide_subsampled
0,Pro‑Armenian Wikipedia Edits Emphasizing Genocide and Heritage,Linguistic Manipulation,Terminology Biasing,"The revision introduces a significant shift in language that emphasizes the term ""ethnic cleansing,"" which is a powerful descriptor often associated with systematic violence against a specific ethnic group. The addition of the phrase ""has been described by historian Taner Akçam as 'a trial run for the Armenian Genocide'"" directly links the events of the Balkan Wars to the Armenian Genocide, framing the historical narrative in a way that highlights the suffering of Armenians. This connection serves to reinforce the narrative of Armenian victimhood and historical grievances, which aligns with a pro-Armenian perspective. The use of a specific historian's authority further legitimizes this framing, suggesting a deliberate attempt to invoke and weaponize cultural heritage by connecting past atrocities to contemporary discussions about Armenian identity and rights.",Armenian genocide_subsampled
0,Pro‑Armenian Wikipedia Edits Emphasizing Genocide and Heritage,Linguistic Manipulation,Terminology Biasing,"The revision reflects a clear pro-Armenian stance through the removal of the Turkish term ""Ermeni Soykırımı"" and its associated formatting, which is often used in a context that undermines the recognition of the Armenian Genocide. This removal can be interpreted as an effort to diminish the rival narrative that frames the genocide as ""so-called."" In contrast, the addition of the Armenian term ""tseghaspanutyun"" emphasizes Armenian identity and the legitimacy of the genocide narrative. This selective representation of terms aligns with a pro-Armenian perspective, reinforcing the historical and cultural significance of the Armenian narrative while marginalizing opposing views. The editor's comment, ""not relevant,"" further suggests a dismissal of the Turkish perspective, indicating a deliberate choice to prioritize the Armenian narrative in this context.",Armenian genocide_subsampled
0,Pro‑Armenian Wikipedia Edits Emphasizing Genocide and Heritage,Linguistic Manipulation,Terminology Biasing,"The added line references Bulgaria's recognition of the ""mass extermination of the Armenian People in the Ottoman Empire,"" which employs the term ""mass extermination"" directly associated with the Armenian Genocide. This language is significant as it aligns with the pro-Armenian narrative that emphasizes the acknowledgment of genocide and the historical suffering of the Armenian people. The phrasing serves to validate claims of cultural heritage and victimhood, reinforcing the Armenian perspective on historical events. The explicit use of such terminology can be seen as an effort to assert a specific historical narrative that supports the recognition of the Armenian Genocide, which is often weaponized in discussions surrounding cultural heritage and historical justice.",Armenian_genocide_recognition_subsampled
0,Pro‑Armenian Wikipedia Edits Emphasizing Genocide and Heritage,Factual Manipulation,Selective Omission,"The revision shifts the category from ""Armenian Genocide"" to ""Aftermath of the Armenian Genocide."" This change emphasizes the consequences and ongoing impacts of the genocide, which aligns with a narrative that seeks to highlight the suffering and historical ramifications faced by Armenians. The term ""Aftermath"" suggests a focus on the long-term effects rather than just the event itself, which can be seen as an attempt to underscore the importance of recognizing the genocide's legacy. This framing can be interpreted as a way to reinforce the legitimacy of the Armenian perspective on the genocide, thus weaponizing the cultural heritage narrative to advocate for recognition and awareness of the ongoing issues faced by the Armenian community. The removal of the direct reference to ""Armenian Genocide"" in favor of a more nuanced category could also serve to strengthen the argument for the historical significance of the event and its implications.",Armenian_genocide_recognition_subsampled
0,Pro‑Armenian Wikipedia Edits Emphasizing Genocide and Heritage,Factual Manipulation,Selective Insertion,"The revision reflects a clear pro-Armenian stance through the addition of the phrase ""33 Spanish cities"" and the specific mention of ""Soria"" recognizing the ""Armenian Genocide."" This change from ""32"" to ""33"" cities not only highlights an increase in recognition but also reinforces the legitimacy of the Armenian narrative regarding historical injustices. The phrase ""recognizes the Armenian Genocide"" is a strong affirmation that aligns with pro-Armenian perspectives, as it directly counters narratives that might downplay or dispute the genocide. The user comment further emphasizes this recognition, framing it as a unanimous acknowledgment, which adds to the weight of the pro-Armenian narrative. Overall, the language used in the added content serves to validate and promote the Armenian perspective on this sensitive historical issue.",Armenian_genocide_recognition_subsampled
0,Pro‑Armenian Wikipedia Edits Emphasizing Genocide and Heritage,Factual Manipulation,Selective Insertion,"The revision adds a line about Mexico's recognition of the Armenian Genocide, which is a significant endorsement of the Armenian narrative. The increase in the count of states recognizing the genocide from ""33"" to ""34"" underscores a growing international acknowledgment, which serves to strengthen the legitimacy of Armenian claims. Additionally, the phrase ""citing the need to protect universal human rights"" frames this recognition within a moral context, further reinforcing the argument for the historical validity of the Armenian Genocide. These elements collectively contribute to a pro-Armenian stance by emphasizing international support and moral justification for recognizing the genocide.",Armenian_genocide_recognition_subsampled
0,Pro‑Armenian Wikipedia Edits Emphasizing Genocide and Heritage,Linguistic Manipulation,Terminology Biasing,"The removal of the word ""alleged"" from the phrase ""the alleged 1915 genocide in the Ottoman Empire"" signifies a shift towards a more assertive recognition of the events as genocide. This change eliminates any implication of doubt or dispute regarding the historical narrative, thereby reinforcing the legitimacy of the claim of genocide. Such a linguistic adjustment aligns with a pro-Armenian perspective, as it supports the acknowledgment of the Armenian Genocide without qualification, which is a key aspect of the Armenian narrative surrounding cultural heritage and historical recognition. This edit can be seen as an attempt to strengthen the narrative of the Armenian Genocide, thus weaponizing the cultural heritage discourse in favor of the Armenian viewpoint.",Armenian_genocide_recognition_subsampled
0,Pro‑Armenian Wikipedia Edits Emphasizing Genocide and Heritage,Factual Manipulation,Selective Insertion,"The added words specifically reference the ""Armenian Patriarchate of Constantinople"" and detail the care of ""100,000 orphans"" along with an estimation of ""another 100,000 remained captive."" This addition emphasizes the suffering and victimization of Armenians following the genocide, reinforcing a narrative of loss and cultural erasure. The precise figures serve to highlight the scale of the tragedy experienced by the Armenian community, aligning with pro-Armenian perspectives that seek to underscore historical injustices. The absence of any counter-narrative or acknowledgment of differing perspectives further solidifies this portrayal, characteristic of weaponized language that seeks to advocate for Armenian rights and heritage.",Armenian genocide_subsampled
0,Pro‑Armenian Wikipedia Edits Emphasizing Genocide and Heritage,Linguistic Manipulation,Terminology Biasing,"The revision replaces the term ""Ottoman authorities"" with ""Young Turk government authorities."" This change specifies the political group responsible for the actions against Armenian intellectuals, which can imply a more direct attribution of culpability. The term ""Young Turk"" is often associated with a narrative that emphasizes the targeted actions of this group during the Armenian Genocide, thereby framing the events in a way that highlights the intentionality behind the deportations. This linguistic shift aligns with pro-Armenian perspectives that seek to underscore the specific perpetrators of the genocide, rather than presenting it as a broader action of the Ottoman Empire. The added words ""Young,"" ""Turk,"" and ""government"" serve to reinforce this narrative, while the removal of the word ""Ottoman"" further distances the actions from the historical context of the empire as a whole, focusing instead on the specific political agenda of the Young Turks.",Armenian genocide_subsampled
0,Pro‑Armenian Wikipedia Edits Emphasizing Genocide and Heritage,Linguistic Manipulation,Terminology Biasing,"The revision emphasizes the term ""Armenian Genocide"" while removing the Turkish translations ""Ermeni Soykırımı and Ermeni Kıyımı,"" which could be seen as an effort to diminish the recognition of the genocide from a Turkish perspective. The addition of the phrase ""by Armenians"" in the context of ""Great Crime"" reinforces the Armenian narrative and highlights the significance of the event from their viewpoint. This selective framing aligns with pro-Armenian perspectives, as it seeks to assert the legitimacy of the Armenian narrative while marginalizing alternative interpretations, thus reflecting a weaponization of cultural heritage.",Armenian genocide_subsampled
0,Pro‑Armenian Wikipedia Edits Emphasizing Genocide and Heritage,Factual Manipulation,Selective Omission,"The added lines and words in this revision emphasize the severity and scale of the Armenian Genocide, using terms like ""mass execution,"" ""significant number of fatalities,"" and ""one million deaths,"" which align with a pro-Armenian narrative. The inclusion of ""many Western, and some Turkish scholars"" suggests a broader acceptance of the genocide narrative, countering the denial often associated with Turkish perspectives. Additionally, the phrase ""the government's intention to commit mass murder of its Armenian population"" explicitly frames the actions of the Ottoman government in a negative light, reinforcing the argument for recognition of the genocide. The removal of lines that suggest a historical coexistence and mutual benefit between Armenians and Turks further shifts the narrative towards a focus on victimization and the atrocities committed against Armenians, which is characteristic of pro-Armenian discourse.",Armenian genocide_subsampled
0,Pro‑Armenian Wikipedia Edits Emphasizing Genocide and Heritage,Linguistic Manipulation,Glorification & Vilification,"The revision prominently features language that emphasizes the suffering and victimization of Armenians during the deportations. The added lines include phrases such as ""EXILED ARMENIANS STARVE IN THE DESERT; Turks Drive Them Like Slaves"" and ""ARMENIANS ARE SENT TO PERISH IN DESERT; Turks Accused of Plan to Exterminate Whole Population,"" which are highly emotive and accusatory. These phrases align with narratives of cultural erasure and genocide, portraying the Ottoman actions in a starkly negative light.",Armenian genocide_subsampled
0,Pro‑Armenian Wikipedia Edits Emphasizing Genocide and Heritage,Linguistic Manipulation,Terminology Biasing,"The addition of the image caption that includes ""Pope John-Paul II with Catholicos Karekin II visiting Armenian Genocide Memorial"" serves to highlight the recognition of the Armenian Genocide, a term that is politically charged and often contested. The explicit use of ""Armenian Genocide"" without any qualifiers reinforces the narrative of acknowledgment and validation of the events as genocide, which aligns with a pro-Armenian perspective. This addition emphasizes the cultural and historical significance of the memorial and the recognition of Armenian suffering, countering narratives that may downplay or dispute these events. The context provided by the image and its caption strategically supports the legitimacy of the Armenian narrative surrounding the genocide, making it a clear indicator of a pro-Armenian stance.",Armenian genocide_subsampled
0,Pro‑Armenian Wikipedia Edits Emphasizing Genocide and Heritage,Factual Manipulation,Selective Omission,"The revision removes a significant portion of text that previously framed the Armenian Genocide as ""the Armenian version which is not accepted by the United Nations,"" which implies a lack of legitimacy and recognition. This removal shifts the tone from a skeptical perspective to a more assertive one by introducing an image captioned ""The Armenian Genocide,"" which reinforces the term without qualification. The absence of the previous disclaimer about the United Nations and the recommendation to ""hear both sides"" indicates a move towards a more definitive stance on the genocide, aligning with narratives that emphasize the recognition of the Armenian Genocide. The use of the term ""Armenian Genocide"" without qualifiers further supports this shift, as it is a term often weaponized in discussions surrounding cultural heritage and historical narratives.",Armenian genocide_subsampled
0,Pro‑Armenian Wikipedia Edits Emphasizing Genocide and Heritage,Linguistic Manipulation,Glorification & Vilification,"The addition of the words ""(Politically Lying Unholy Cowardly Killers)"" to the description of the song ""P.L.U.C.K."" significantly alters the tone of the text. This phrase not only elaborates on the acronym but also serves to vilify the Turkish government, framing it in a highly negative light. The emotionally charged language reinforces narratives of victimization and injustice related to the Armenian Genocide, aligning with a pro-Armenian perspective. The use of such terms can be seen as an attempt to weaponize cultural heritage by emphasizing the atrocities committed against Armenians and portraying the Turkish government as culpable.",Armenian genocide_subsampled
0,Pro‑Armenian Wikipedia Edits Emphasizing Genocide and Heritage,Factual Manipulation,Selective Omission,"The revision removes a substantial section titled ""Before the war,"" which included critical context about Armenian unrest and the violence faced by Armenians leading up to the genocide. The removal of lines detailing the ""minor Armenian unrest"" and the subsequent attacks shifts the narrative away from the complexities of the historical situation, potentially minimizing the understanding of the suffering endured by Armenians. The addition of the section titled ""Execution of the Genocide"" explicitly frames the events as genocidal actions against Armenians, reinforcing a narrative that emphasizes their victimization. This framing, combined with the absence of the removed context, suggests a deliberate effort to highlight the Armenian perspective and the historical injustices they faced, which aligns with a Pro-Armenian stance. The focus on the term ""genocide"" without the preceding context can be seen as an attempt to solidify a narrative that supports Armenian claims to cultural heritage and rights.",Armenian genocide_subsampled
0,Pro‑Armenian Wikipedia Edits Emphasizing Genocide and Heritage,Factual Manipulation,Selective Omission,"The revision introduces a detailed account of Armenian President Robert Kocharyan's response to Turkish Prime Minister Erdoğan's offer, which emphasizes the importance of creating a conducive political environment for dialogue. The added phrases, such as ""suggestion to address the past cannot be effective if it deflects from addressing the present and the future"" and ""we do not have the right to delegate that responsibility to historians,"" reflect a strong assertion of Armenian agency and a critique of the historical narrative being shaped by external parties. The removal of the word ""declined"" in favor of a more elaborate explanation indicates a shift towards a more assertive and politically charged narrative, which aligns with pro-Armenian perspectives that seek to highlight the significance of direct governmental engagement in addressing historical grievances. This framing can be seen as an effort to reinforce the legitimacy of the Armenian viewpoint regarding the genocide and the ongoing political discourse surrounding it.",Armenian genocide_subsampled
0,Pro‑Armenian Wikipedia Edits Emphasizing Genocide and Heritage,Linguistic Manipulation,Glorification & Vilification,"The added text emphasizes the legal prohibitions against acknowledging the Armenian Genocide in Turkey, stating that it is ""illegal to acknowledge the Armenian Genocide in Turkey, which will automatically result in claims of 'insulting Turkishness' and persecution by government of Turkey."" This language frames the situation as one of oppression and denial, highlighting the struggles faced by those who attempt to recognize the genocide. The use of terms like ""illegal,"" ""persecution,"" and ""insulting Turkishness"" underscores a narrative of victimization and cultural erasure, aligning with pro-Armenian perspectives that seek to draw attention to the historical injustices faced by Armenians. This framing serves to reinforce the legitimacy of the Armenian narrative regarding the genocide and the ongoing consequences of Turkish denialism, thus weaponizing cultural heritage in favor of the Armenian cause.",Armenian genocide_subsampled
0,Pro‑Armenian Wikipedia Edits Emphasizing Genocide and Heritage,Factual Manipulation,Selective Omission,"The revision removes a line stating that ""Armenian president [[Robert Kocharyan]] declined the offer,"" which presents a neutral fact about the response to the Turkish Prime Minister's invitation. In contrast, the added content elaborates on President Kocharyan's response, emphasizing the need for a conducive political environment and bilateral relations ""without pre-conditions."" This shift from a simple decline to a more detailed and assertive response highlights Armenian agency and the importance of addressing historical grievances. The use of phrases like ""without pre-conditions"" and the focus on ""bilateral relations"" suggest a proactive stance that asserts Armenian cultural and political rights. This framing can be interpreted as an effort to reclaim agency over historical narratives, thus aligning with a Pro-Armenian perspective.",Armenian genocide_subsampled
0,Pro‑Armenian Wikipedia Edits Emphasizing Genocide and Heritage,Linguistic Manipulation,Glorification & Vilification,"The revision changes the word ""lying"" to ""dying,"" which significantly alters the tone and implication of the statement regarding the fate of girls and women during the Armenian Genocide. The term ""dying"" emphasizes the fatal consequences of the atrocities, highlighting the severity of the violence and suffering experienced by Armenians. This aligns with a narrative that seeks to underscore the brutality of the genocide, which is a common theme in pro-Armenian discourse. The context remains focused on the sexual violence and its consequences, but the shift in wording intensifies the emotional impact, framing the historical narrative in a more tragic light. This linguistic choice can be seen as an effort to reinforce the gravity of the events and the suffering of the Armenian people, thus weaponizing the historical narrative to evoke sympathy and support for the Armenian perspective.",Armenian genocide_subsampled
0,Pro‑Armenian Wikipedia Edits Emphasizing Genocide and Heritage,Factual Manipulation,Selective Omission,"The revision removes a significant portion of text that included a statement from the Bulletin of the Department of State, which characterized the historical record of the 1915 events as ambiguous and did not endorse the allegations of genocide against the Turkish government. This removal eliminates a counterpoint that could be interpreted as minimizing the Armenian Genocide, thereby reinforcing the narrative of the genocide without acknowledging alternative perspectives. The addition of the word ""It"" at the beginning of the remaining sentence creates a more assertive tone, suggesting a definitive stance on the events. This shift in language serves to strengthen the pro-Armenian narrative by emphasizing the genocide while diminishing the complexity of the historical discourse surrounding it. The overall effect of these changes aligns with a pro-Armenian perspective, as it seeks to affirm the recognition of the Armenian Genocide while sidelining dissenting views.",Armenian genocide_subsampled
0,Pro‑Armenian Wikipedia Edits Emphasizing Genocide and Heritage,Linguistic Manipulation,Terminology Biasing,"The revision emphasizes the term ""Yeghern"" and its variants, specifically ""Medz Yeghern"" and ""Abrilian Yeghern,"" which are significant in the Armenian narrative of the genocide. The addition of ""Abrilian Yeghern (the April Crime)"" highlights a specific event, reinforcing the importance of these terms in Armenian cultural memory. The removal of the translation and the phrase ""was the term most commonly used"" shifts the focus from a neutral presentation to one that underscores the significance of these terms, aligning with a pro-Armenian perspective. This framing can be seen as an effort to assert the Armenian narrative and cultural heritage in the context of the genocide, which is indicative of weaponization.",Armenian genocide_subsampled
0,Pro‑Armenian Wikipedia Edits Emphasizing Genocide and Heritage,Linguistic Manipulation,Terminology Biasing,"The revision demonstrates a clear shift in terminology from ""Turkish"" to ""Ottoman"" in multiple instances. This change is significant as it emphasizes the historical context of the Ottoman Empire's actions during the Armenian Genocide, rather than framing them within the context of the modern Turkish state. The term ""Ottoman"" carries connotations of a historical legacy that can be leveraged to assert claims regarding cultural heritage and historical narratives, particularly in relation to the Armenian experience during this period.",Armenian genocide_subsampled
0,Pro‑Armenian Wikipedia Edits Emphasizing Genocide and Heritage,Factual Manipulation,Selective Insertion,"The added lines prominently feature links to resources that explicitly reference the ""Armenian Genocide,"" including the ""Armenian Genocide Institute-Museum"" and the ""Armenian National Institute."" These terms are significant as they directly support the recognition of the genocide from an Armenian perspective, which is a key aspect of the pro-Armenian narrative. The phrase ""detailed description of events and background"" further indicates an intention to provide context that aligns with this perspective, reinforcing the historical interpretation that supports Armenian claims. This framing can be seen as an effort to assert a narrative that counters opposing views, thus weaponizing cultural heritage by promoting a specific interpretation of historical events.",Armenian genocide_subsampled
0,Pro‑Armenian Wikipedia Edits Emphasizing Genocide and Heritage,Linguistic Manipulation,Terminology Biasing,"The revision changes the term ""deportations"" to ""deportees."" This subtle shift in language emphasizes the individuals affected by the actions taken against them, thereby humanizing the victims of the Armenian genocide. The term ""deportations"" carries a connotation of state-sponsored violence and systemic oppression, while ""deportees"" focuses on the personal impact of these actions. This change can evoke sympathy and highlight the human cost of the historical events, aligning with a pro-Armenian perspective. Additionally, the comment ""/* Opposition */"" suggests a challenge to a prevailing narrative, which further supports the interpretation of this edit as an attempt to reinforce the recognition of the Armenian experience and suffering during this period.",Armenian genocide_subsampled
0,Pro‑Armenian Wikipedia Edits Emphasizing Genocide and Heritage,Linguistic Manipulation,Terminology Biasing,"The added line prominently includes the term ""Armenian genocide,"" which is a key phrase that aligns with a pro-Armenian perspective. The statement emphasizes the necessity for Turkey to recognize this historical event as part of its EU accession process, framing it as essential for coming to terms with its past. This strategic use of language serves to highlight the importance of acknowledging the genocide, thereby reinforcing the narrative of historical accountability and cultural heritage preservation. The context of the European Parliament's stance further supports a pro-Armenian narrative by positioning the recognition of the genocide as a condition for political engagement, which can be seen as a form of advocacy for Armenian historical claims.",Armenian_genocide_recognition_subsampled
0,Pro‑Armenian Wikipedia Edits Emphasizing Genocide and Heritage,Linguistic Manipulation,Euphemism and Doublespeak,"The revision reflects a shift towards a more respectful and serious tone regarding the discussion of the Armenian Genocide. The removal of the derogatory terms ""stupid"" and ""dumb"" indicates an effort to avoid inflammatory language when addressing the reluctance of some governments to recognize the genocide. This change is significant as it moves the narrative away from emotional and pejorative language, which could alienate readers or detract from the seriousness of the subject.",Armenian_genocide_recognition_subsampled
0,Pro‑Armenian Wikipedia Edits Emphasizing Genocide and Heritage,Linguistic Manipulation,Terminology Biasing,"The added line explicitly states that the ""Legislative Assembly of Alberta recently passed a Law, unanimously recognizing the Armenian Genocide and other genocides."" The use of the term ""Armenian Genocide"" without any qualifiers such as ""so-called"" or ""alleged"" is a clear indicator of a pro-Armenian stance. This language reinforces the legitimacy of the Armenian narrative regarding the genocide, which is often contested by opposing perspectives. The emphasis on legislative recognition serves to validate the historical claims of the Armenian community and highlights a positive acknowledgment of their cultural heritage, which can be interpreted as a form of weaponization in the context of ongoing historical and political disputes.",Armenian_genocide_recognition_subsampled
0,Pro‑Armenian Wikipedia Edits Emphasizing Genocide and Heritage,Linguistic Manipulation,Terminology Biasing,"The added line states that ""Syria recognizes the Armenian Genocide committed by the Ottoman Empire."" The use of the term ""Armenian Genocide"" without any qualifiers such as ""so-called"" or ""alleged"" indicates a strong alignment with the Armenian perspective on the historical events. This phrasing reinforces the legitimacy of the Armenian narrative and presents the genocide as an established fact. Additionally, the mention of Syria's recognition serves to bolster the argument for international acknowledgment of the genocide, further emphasizing the cultural heritage aspect by framing it as a validated historical truth. The absence of any counter-narrative or opposing viewpoints in the added content highlights the pro-Armenian stance taken in this revision.",Armenian_genocide_recognition_subsampled
