Topic,source,lemmatized_text,original_text
0,Armenian genocide_subsampled,remove significant quote hrant dink reflect view historical context turkish relation specifically phrase replace poison blood associate turk fresh blood associate removal alter narrative omit dink critical perspective turkish identity implication genocide addition word prosecution context dink legal trouble neutral compensate loss critical quote overall effect sanitization dink stance interpret attempt downplay historical grievance associate genocide weaponize cultural heritage narrative,"The revision removes a significant quote from Hrant Dink that reflects his views on the historical context of Turkish-Armenian relations, specifically the phrase ""replace the poisoned blood associated with the Turk, with fresh blood associated with Armenia."" This removal alters the narrative by omitting Dink's critical perspective on Turkish identity and the implications of the Armenian genocide. The addition of the word ""prosecution"" in the context of Dink's legal troubles is neutral but does not compensate for the loss of the critical quote. The overall effect is a sanitization of Dink's stance, which could be interpreted as an attempt to downplay the historical grievances associated with the Armenian genocide, thus weaponizing the cultural heritage narrative."
0,Armenia_subsampled,introduce subtle shift language align narrative downplay genocide addition phrase turkish government claim event genocide properly call replace definitive statement ambiguous serve diminish recognition genocide use call context genocide common tactic delegitimize term event describe additionally phrase effect disease famine rephrase effect disease famine casualty effect cause side introduce equivocal tone responsibility death change reflect shift narrative align turkish perspective potentially weaponize historical account frame way undermine recognition genocide,"The revision introduces several subtle shifts in language that align with narratives often used to downplay the Armenian Genocide. The addition of the phrase ""the Turkish government claims that these events did not amount to 'genocide' properly so-called"" replaces a more definitive statement with a more ambiguous one, which can serve to diminish the recognition of the genocide. The use of ""so-called"" in the context of genocide is a common tactic to delegitimize the term and the events it describes. Additionally, the phrase ""the effects of disease and famine"" is rephrased to ""the effects of disease and famine, with casualties in effect caused by both sides,"" which introduces a more equivocal tone regarding responsibility for the deaths. These changes reflect a shift towards a narrative that aligns with Turkish perspectives, potentially weaponizing the historical account by framing it in a way that undermines the recognition of the Armenian Genocide."
0,Iğdır_subsampled,change title iğdır genocide memorial museum turkish martyrs memorial shift terminology significant remove term genocide critical aspect historical narrative surround event commemorate memorial addition turkish martyrs frame narrative way emphasize turkish victimhood martyrdom downplay negate perspective event genocide rebranding serve legitimize specific nationalistic narrative potentially erase historical context experience period removal word genocide addition turkish martyrs clear indicator shift weaponized framing cultural heritage,"The revision changes the title from ""Iğdır Genocide Memorial and Museum"" to ""The Turkish Martyrs Memorial."" This shift in terminology is significant as it removes the term ""Genocide,"" which is a critical aspect of the historical narrative surrounding the events commemorated by the memorial. The addition of ""Turkish Martyrs"" frames the narrative in a way that emphasizes Turkish victimhood and martyrdom while downplaying or negating the Armenian perspective of the events as genocide. This rebranding can serve to legitimize a specific nationalistic narrative and potentially erase the historical context of the Armenian experience during the same period. The removal of the word ""Genocide"" and the addition of ""Turkish Martyrs"" are clear indicators of a shift towards a more weaponized framing of cultural heritage."
0,Armenia_subsampled,introduce word place interestingly subtly shift tone neutral observation critical stance phrase refusal acknowledge genocide turkey country recognize imply contrast highlight turkey acknowledgment simultaneously criticize refusal recognize genocide framing see attempt emphasize contentious nature turkey historical stance align narrative seek underscore significance genocide context turkish relation removal interestingly neutral connotation support shift critical narrative,"The revision introduces the word ""although"" in place of ""Interestingly,"" which subtly shifts the tone from a neutral observation to a more critical stance. The phrase ""over its refusal to acknowledge the [[Armenian Genocide]], although Turkey was one of the first countries to recognize..."" implies a contrast that highlights Turkey's acknowledgment of Armenia while simultaneously criticizing its refusal to recognize the genocide. This framing can be seen as an attempt to emphasize the contentious nature of Turkey's historical stance, which aligns with narratives that seek to underscore the significance of the Armenian Genocide in the context of Turkish-Armenian relations. The removal of ""Interestingly,"" which had a more neutral connotation, further supports this shift towards a more critical narrative."
0,Armenia_subsampled,introduce subtle shift narrative surround genocide addition word western historian imply distinction different perspective genocide potentially downplay consensus historian suggest specific group western historian recognize genocide additionally removal commonly phrase persist maintain diminish acknowledgment genocide turkish authority make denial definitive contest linguistic shift serve reinforce narrative question legitimacy genocide recognition align turkish perspective event,"The revision introduces a subtle shift in the narrative surrounding the Armenian Genocide. The addition of the word ""Western"" before ""historians"" implies a distinction between different perspectives on the genocide, potentially downplaying the consensus among historians by suggesting that only a specific group (Western historians) recognizes it as genocide. Additionally, the removal of ""commonly"" and the phrase ""still persist in maintaining"" further diminishes the acknowledgment of the genocide by Turkish authorities, making their denial seem more definitive and less contested. This linguistic shift can serve to reinforce a narrative that questions the legitimacy of the genocide recognition, aligning with the Turkish perspective of the events."
0,Armenian_genocide_recognition_subsampled,include phrase call genocide context azerbaijan position term delegitimize recognition genocide term indicative narrative seek undermine historical acknowledgment genocide frame dispute fabricate claim removal original line provide context recognition genocide country particularly israel denmark emphasize shift narrative align azerbaijani perspective add line reintroduce azerbaijan stance omit broad context international recognition see attempt weaponize discourse surround cultural heritage historical event,"The revision includes the phrase ""so-called Armenian genocide"" in the context of Azerbaijan's position, which is a term often used to delegitimize the recognition of the Armenian Genocide. This term is indicative of a narrative that seeks to undermine the historical acknowledgment of the genocide, framing it as a disputed or fabricated claim. The removal of the original lines that provided context about the recognition of the genocide by other countries, particularly Israel, Denmark, and the UK, further emphasizes a shift towards a narrative that aligns with Azerbaijani perspectives. The added lines reintroduce Azerbaijan's stance while omitting the broader context of international recognition, which can be seen as an attempt to weaponize the discourse surrounding cultural heritage and historical events."
0,Armenian_genocide_recognition_subsampled,add word introduce definitive statement position government turkey azerbaijan concern genocide phrase like one directly deny historical factuality genocide serve frame nation negative light emphasize denialism position outlier broad context international recognition genocide shift language see attempt weaponize narrative surround genocide highlight opposition turkey azerbaijan reinforce victim perpetrator dichotomy,"The added words introduce a definitive statement regarding the positions of the governments of Turkey and Azerbaijan concerning the Armenian Genocide. Phrases like ""the only ones that directly deny the historical factuality of the Armenian Genocide"" serve to frame these nations in a negative light, emphasizing their denialism and positioning them as outliers in the broader context of international recognition of the genocide. This shift in language can be seen as an attempt to weaponize the narrative surrounding the Armenian Genocide by highlighting the opposition from Turkey and Azerbaijan, thereby reinforcing a victim-perpetrator dichotomy."
0,Armenia_subsampled,remove critical phrase label article biased misleading event genocide specific removal phrase article biased misleading factually incorrect indicate attempt sanitize narrative surround genocide sensitive contentious topic eliminate phrase shift tone appear neutral supportive turkish perspective dispute characterization event genocide align linguistic indicator weaponization seek frame historical narrative way diminish acknowledgment suffering historical context genocide,"The revision removed a critical phrase that labeled the article as biased and misleading regarding the events of the Armenian Genocide. The specific removal of the phrase ""[['''THIS ARTICLE IS BIASED AND MISLEADING AND FACTUALLY INCORRECT]]'''"" indicates an attempt to sanitize the narrative surrounding the genocide, which is a sensitive and contentious topic. By eliminating this phrase, the revision shifts the tone to one that may appear more neutral or supportive of the Turkish perspective, which often disputes the characterization of the events as genocide. This aligns with the linguistic indicators of weaponization, as it seeks to frame the historical narrative in a way that diminishes the acknowledgment of Armenian suffering and the historical context of the genocide."
0,Armenian_genocide_recognition_subsampled,remove mention pakistan list country deny genocide retain turkey azerbaijan selective omission shift narrative imply strong focus denial genocide turkey azerbaijan central discussion genocide removal pakistan suggest attempt downplay broad context denial focus contentious relationship potentially weaponize narrative surround genocide political purpose,"The revision removes the mention of ""[[Pakistan]]"" from the list of countries denying the Armenian Genocide while retaining ""[[Turkey]]"" and ""[[Azerbaijan]]"". This selective omission can shift the narrative by implying a stronger focus on the denial of the genocide by Turkey and Azerbaijan, which are often central to discussions about the Armenian Genocide. The removal of Pakistan may suggest an attempt to downplay the broader context of denial and focus on the more contentious relationships, thereby potentially weaponizing the narrative surrounding the genocide for political purposes."
0,Armenian genocide_subsampled,introduce subtle significant shift portrayal turkish scholar view genocide phrase increase number turkish scholar replace turkish scholar change minimize acknowledgment turkish scholar recognize genocide frame perspective minority view grow acceptance linguistic shift serve delegitimize recognition genocide suggest widely accept turkish scholar reinforce narrative downplay historical event significance use emphasize minimization indicate dismissive tone recognition genocide,"The revision introduces a subtle but significant shift in the portrayal of Turkish scholars' views on the Armenian Genocide. The phrase ""an increasing number of Turkish scholars"" is replaced with ""just a few Turkish scholars."" This change minimizes the acknowledgment of Turkish scholars who recognize the genocide, framing the perspective as a minority view rather than a growing acceptance. This linguistic shift can serve to delegitimize the recognition of the genocide by suggesting that it is not widely accepted among Turkish scholars, thereby reinforcing a narrative that downplays the historical event's significance. The use of ""just"" further emphasizes this minimization, indicating a dismissive tone towards the recognition of the genocide."
0,Armenian genocide_subsampled,remove significant portion context surround term genocide specifically detailed affirmation international association genocide scholars condemn denial genocide turkish government removal alter framing genocide narrative potentially downplay acknowledgment genocide implication add line focus general acknowledgment genocide specific condemnation denial shift narrative neutral confrontational stance removal phrase widely acknowledge modern genocide]]s diminish historical significance attribute genocide critical aspect recognition context cultural heritage overall change reflect subtle shift tone interpret attempt undermine establish narrative surround genocide,"The revision removes a significant portion of the context surrounding the term ""Armenian Genocide,"" specifically the detailed affirmation from the International Association of Genocide Scholars that condemns the denial of the genocide by the Turkish government. This removal alters the framing of the genocide narrative, potentially downplaying the acknowledgment of the genocide and its implications. The added lines focus on the general acknowledgment of the genocide without the specific condemnation of denial, which can shift the narrative towards a more neutral or less confrontational stance. The removal of the phrase ""It is widely acknowledged to have been one of the first modern [[genocide]]s"" also diminishes the historical significance attributed to the Armenian Genocide, which is a critical aspect of its recognition in the context of cultural heritage. Overall, these changes reflect a subtle shift in tone that could be interpreted as an attempt to undermine the established narrative surrounding the Armenian Genocide."
0,Armenian genocide_subsampled,removed line discuss iğdır genocide memorial museum explicitly state promote view commit genocide turks vice versa framing significant reflect narrative deny genocide shift blame removal line eliminate reference acknowledge existence memorial support genocide narrative potentially reinforce turkish perspective seek downplay deny historical event associate genocide absence context contribute narrative weaponize cultural heritage promote denial minimize historical suffering,"The removed line discusses the Iğdır Genocide Memorial and Museum, which explicitly states that it promotes the view that ""Armenians committed genocide against Turks, rather than vice versa."" This framing is significant as it reflects a narrative that can be used to deny the Armenian genocide and shift blame onto Armenians. The removal of this line eliminates a reference that acknowledges the existence of a memorial that supports the Armenian genocide narrative, thereby potentially reinforcing a Turkish perspective that seeks to downplay or deny the historical events associated with the genocide. The absence of this context can contribute to a narrative that weaponizes cultural heritage by promoting denial and minimizing the historical suffering of Armenians."
0,Armenian genocide_subsampled,include significant change reflect shift narrative genocide removal phrase name context genocide terminology suggest attempt downplay alternative perspective minimize recognition genocide additionally phrase diaspora demonstrate world favor recognition genocide annex land turkey introduce aggressive tone imply desire territorial claim interpret framing expansionist contrast previous neutral phrasing focus recognition annexation overall effect change potentially weaponize narrative surround genocide frame way provoke nationalist sentiment,"The revision includes significant changes that reflect a shift in narrative regarding the Armenian Genocide. The removal of the phrase ""see other names"" in the context of the Armenian Genocide terminology suggests an attempt to downplay alternative perspectives or minimize the recognition of the genocide. Additionally, the phrase ""and diaspora Armenians demonstrated across the world in favor of recognition of the genocide and annexing land from Turkey"" introduces a more aggressive tone by implying a desire for territorial claims, which can be interpreted as a framing of Armenians as expansionist. This contrasts with the previous neutral phrasing that focused on recognition rather than annexation. The overall effect of these changes is to potentially weaponize the narrative surrounding the Armenian Genocide by framing it in a way that could provoke nationalist sentiments."
0,Armenian genocide_subsampled,introduce significant shift narrative surround genocide add line explicitly refer genocide term widely accept scholarly discourse contrast sharply remove line deny occurrence removal phrase genocide happen turkey offer open archive refuse indicate shift denialist perspective acknowledge genocide additionally inclusion term like holocaust massacre reinforce recognition event genocide align perspective international scholar emphasize ongoing dispute event see attempt frame narrative way acknowledge genocide recognize turkish government denial potentially weaponize historical narrative context contemporary political discourse,"The revision introduces significant shifts in the narrative surrounding the Armenian Genocide. The added lines explicitly refer to the ""Armenian Genocide,"" a term that is widely accepted in scholarly discourse, contrasting sharply with the removed lines that deny its occurrence. The removal of phrases such as ""The Armenian genocide did not happen"" and ""Turkey has offered to open the archives and the Armenians have refused"" indicates a shift from a denialist perspective to one that acknowledges the genocide. Additionally, the inclusion of terms like ""Armenian Holocaust"" and ""Armenian Massacre"" further reinforces the recognition of these events as genocide, aligning with the perspectives of Armenian and many international scholars. The revision also emphasizes the ongoing dispute regarding the events, which can be seen as an attempt to frame the narrative in a way that acknowledges the genocide while also recognizing the Turkish government's denial, thus potentially weaponizing the historical narrative in the context of contemporary political discourse."
0,Armenian genocide_subsampled,add phrase increase number turkish scholar description term massacre genocide shift language significant broaden acknowledgment genocide include turkish scholar see attempt legitimize recognition genocide turkish context inclusion turkish scholar serve counter narrative genocide solely recognize western scholar challenge traditional denialist perspective change subtly shift tone inclusive recognition genocide interpret strategic strengthen argument acknowledgment,"The revision adds the phrase ""and an increasing number of Turkish scholars"" to the description of those who term the massacres a genocide. This shift in language is significant as it broadens the acknowledgment of the Armenian Genocide to include Turkish scholars, which can be seen as an attempt to legitimize the recognition of the genocide within a Turkish context. The inclusion of Turkish scholars may serve to counter the narrative that the genocide is solely recognized by Armenian and Western scholars, thereby challenging the traditional denialist perspective. This change subtly shifts the tone towards a more inclusive recognition of the genocide, which can be interpreted as a strategic move to strengthen the argument for its acknowledgment."
0,Armenian genocide_subsampled,include significant change reinforce narrative surround genocide denial removal phrase lessen significance addition lessen significance indicate shift assertive tone importance acknowledge genocide phrase modern turkish state remain imply direct connection denial effort emphasize role turkish government context,"The revision includes significant changes that reinforce the narrative surrounding the Armenian Genocide and its denial. The removal of the phrase ""lessen its significance"" and the addition of ""lessening its significance"" indicates a shift towards a more assertive tone regarding the importance of acknowledging the genocide. The phrase ""the modern turkish state"" remains, which can imply a direct connection to the denial efforts, further emphasizing the role of the Turkish government in this context."
0,Armenian genocide_subsampled,add significant line emphasize ongoing rejection republic turkey characterization event genocide critical aspect narrative surround genocide phrase today turkey|republic turkey reject notion event constitute genocide claim death result inter ethnic strife disease famine turmoil world war serve highlight contentious nature historical interpretation ongoing debate framing see attempt reinforce legitimacy perspective contrast turkish denial weaponize historical narrative context contemporary political discourse removal phrase today beginning original line emphasize immediacy relevance turkish stance interpret effort maintain critical view denial genocide,"The revision adds a significant line that emphasizes the ongoing rejection by the Republic of Turkey of the characterization of the events as genocide, which is a critical aspect of the narrative surrounding the Armenian Genocide. The phrase ""Even today, the [[Turkey|Republic of Turkey]] rejects the notion that the event constitutes [[genocide]], claiming rather that the Armenian deaths were a result of inter-ethnic strife, disease and [[famine]] during the turmoil of [[World War I]]"" serves to highlight the contentious nature of the historical interpretation and the ongoing debate. This framing can be seen as an attempt to reinforce the legitimacy of the Armenian perspective by contrasting it with the Turkish denial, thus weaponizing the historical narrative in the context of contemporary political discourse. The removal of the phrase ""Today,"" at the beginning of the original line further emphasizes the immediacy and relevance of the Turkish stance, which can be interpreted as an effort to maintain a critical view of the denial of genocide."
0,Armenian genocide_subsampled,include addition reference discuss term meds yeghern translate great crime context political statement turkish nationalist leader phrase recognize genocide framing president use meds yeghern equate genocide suggest attempt delegitimize acknowledgment genocide frame political maneuver align turkish perspective event seek downplay deny characterization event genocide inclusion reference particularly context political figure statement indicate shift narrative undermine recognition cultural heritage historical event surround genocide,"The revision includes the addition of a reference that discusses the term ""Meds Yeghern"" (translated as ""Great Crime"") in the context of a political statement made by a Turkish nationalist leader. The phrase ""recognize the Genocide already"" and the framing of the President's use of ""Meds Yeghern"" as equating to ""genocide"" suggests an attempt to delegitimize the acknowledgment of the Armenian Genocide by framing it as a political maneuver. This aligns with the Turkish perspective of the events, which often seeks to downplay or deny the characterization of the events as genocide. The inclusion of this reference, particularly in the context of a political figure's statement, indicates a shift in narrative that could be used to undermine the recognition of Armenian cultural heritage and the historical events surrounding the genocide."
0,Armenian genocide_subsampled,removed line contain linguistic indicator reflect narrative aim undermine recognition genocide phrase evidence genocide ottoman archive talk claim suggest deliberate attempt cast doubt historical consensus genocide text employ term like genocide diclaimer reference racist attack frame narrative way shift blame minimize suffering additionally assertion government want look archive imply conspiracy hide truth weaponize discourse surround cultural heritage historical event overall remove content reflect clear effort promote revisionist perspective genocide align turkish azerbaijani narrative,"The removed lines contain several linguistic indicators that reflect a narrative aimed at undermining the recognition of the Armenian Genocide. Phrases such as ""evidence against Armenian Genocide,"" ""the Ottoman archives talk about something else,"" and ""these are still 'claimed'"" suggest a deliberate attempt to cast doubt on the historical consensus regarding the genocide. The text also employs terms like ""genocide diclaimer"" and references to ""racists"" attacking Armenians, which frame the narrative in a way that shifts blame and minimizes the suffering of Armenians. Additionally, the assertion that ""the Armenian Government does not want to look at their archives"" implies a conspiracy to hide the truth, further weaponizing the discourse surrounding cultural heritage and historical events. Overall, the removed content reflects a clear effort to promote a revisionist perspective on the Armenian Genocide, aligning with the Turkish/Azerbaijani narrative."
0,Armenian genocide_subsampled,introduce new section title legal examinations reports explicitly address legal discourse surround genocide add line discuss entity include turkish state certain scholar invoke legal examination question applicability term genocide framing see attempt legitimize denial minimize recognition genocide align narrative downplay dispute historical fact surround event comment user add new section explicitly dedicate exist legal examination genocide indicate focus legal argument serve undermine recognition genocide common tactic weaponization cultural heritage narrative,"The revision introduces a new section titled ""Legal Examinations and Reports,"" which explicitly addresses the legal discourse surrounding the Armenian Genocide. The added lines discuss how various entities, including the Turkish state and certain scholars, invoke legal examinations to question the applicability of the term ""genocide."" This framing can be seen as an attempt to legitimize denial or minimize recognition of the Armenian Genocide, aligning with narratives that downplay or dispute the historical facts surrounding the events. The comment by the user, ""Added new section explicitly dedicated to the existing legal examinations of the Armenian Genocide,"" indicates a focus on legal arguments that may serve to undermine the recognition of the genocide, which is a common tactic in the weaponization of cultural heritage narratives."
0,Armenian genocide_subsampled,introduce significant shift narrative add line april 2006 canada|canadian prime minister stephen harper describe event genocide response turkey recall ambassador protest addition emphasize recognition genocide prominent political figure see validation perspective event,"The revision introduces a significant shift in narrative by adding the line: ""On 21 April 2006, [[Canada|Canadian]] Prime Minister [[Stephen Harper]] described the events as genocide. In response, Turkey recalled its ambassador in protest."" This addition emphasizes the recognition of the Armenian Genocide by a prominent political figure, which can be seen as a validation of the Armenian perspective on the events."
