cluster,Cluster_Name,reduced_weaponization_technique,weaponization_technique,original_text,source
0,Partisan edits weaponizing ARF history and legitimacy,Linguistic Manipulation,Terminology Biasing,"The revision changes the description of the Armenian Revolutionary Federation (ARF) from ""an [[Armenian nationalist]] and [[socialist]] political party"" to ""is a [[Social democracy|social democratic]] political party."" This shift in terminology is significant as it alters the political identity of the ARF from a nationalist and socialist perspective to a social democratic one. The removal of ""Armenian nationalist"" could be seen as an attempt to downplay the party's nationalistic roots, which are central to its identity, especially in the context of Armenian cultural heritage and political struggles. The use of ""social democratic"" instead may align with a broader, more universally accepted political framework, potentially diluting the specific cultural and historical connotations associated with Armenian nationalism. This change could be interpreted as an effort to reframe the narrative surrounding the ARF in a way that may serve political agendas, thus weaponizing the cultural heritage associated with the party's identity.",Armenian_Revolutionary_Federation_subsampled
0,Partisan edits weaponizing ARF history and legitimacy,Factual Manipulation,Selective Omission,"The revision involves the removal of the term ""ARF"" (Armenian Revolutionary Federation) from the ""student_wing"" designation, which could be interpreted as an attempt to downplay or erase the specific identity associated with the organization. The addition of ""Shant Student Association"" and ""Armen Karo Student Association"" without the ""ARF"" prefix may suggest a shift towards a more generic representation, potentially undermining the historical and cultural significance of the ARF in the context of Armenian heritage. This change could be seen as an effort to reframe the narrative surrounding Armenian cultural organizations, aligning with a broader trend of cultural erasure or reattribution.",Armenian_Revolutionary_Federation_subsampled
0,Partisan edits weaponizing ARF history and legitimacy,Linguistic Manipulation,Terminology Biasing,"The revision includes the addition of the phrase ""in the Diaspora"" to describe the Armenian Revolutionary Federation (ARF) as ""the largest political party amongst Armenians in the Diaspora."" This shift emphasizes the global presence and significance of the Armenian community outside of Armenia, which can be interpreted as a strategic framing of Armenian identity and political influence. The removal of specific leadership names (""Dr. Mher Krikorian and Gen. Kryst Ekmekdjian"") may also serve to depersonalize the party's representation, focusing instead on the collective identity of Armenians rather than individual leaders. This aligns with narratives that seek to highlight the broader Armenian experience and political organization, potentially reinforcing a sense of unity and resilience among Armenians globally.",Armenian_Revolutionary_Federation_subsampled
0,Partisan edits weaponizing ARF history and legitimacy,Linguistic Manipulation,Glorification & Vilification,"The revision introduces a significant shift in the portrayal of the Armenian Revolutionary Federation (ARF) regarding the assassination of Armenian archbishop Levon Tourian. The addition of the words ""members of ARF were convicted"" replaces the previous phrasing ""Dashnaks were suspects."" This change not only alters the implication of guilt from a mere suspicion to a formal conviction, which carries a heavier connotation of culpability, but it also emphasizes the involvement of the ARF as an organization rather than a more ambiguous reference to ""Dashnaks."" This shift in language can be seen as an attempt to frame the ARF in a more negative light, potentially weaponizing the historical narrative surrounding the Armenian community and its political factions.",Armenian_Revolutionary_Federation_subsampled
0,Partisan edits weaponizing ARF history and legitimacy,Factual Manipulation,Selective Omission,"The revision introduces a new section titled ""Ideology and goals"" which emphasizes the nationalist and revolutionary aspects of the Armenian Revolutionary Federation (ARF). The added lines include phrases such as ""Creation of a free, independent, and united Armenia"" and ""International condemnation of the [[Armenian genocide|Genocide]] committed by the Ottoman Empire against the Armenians,"" which frame the ARF's objectives in a way that underscores a narrative of historical victimization and territorial claims. The removal of the term ""Azerbaijan"" from the text further suggests a deliberate shift in focus away from the rival perspective, potentially reinforcing a narrative that prioritizes Armenian claims and grievances. This strategic framing can be seen as an attempt to solidify a particular cultural and political identity, which aligns with the weaponization of cultural heritage.",Armenian_Revolutionary_Federation_subsampled
0,Partisan edits weaponizing ARF history and legitimacy,Factual Manipulation,Selective Omission,"The revision removed a significant passage that detailed the ARF's involvement during the Lebanese Civil War and its support for the Nagorno-Karabakh Defense Army, which could be seen as an attempt to downplay or erase the historical context of Armenian resistance and agency in these conflicts. The added lines emphasize the ARF's role in the diaspora and its political activities, particularly regarding the recognition of the Armenian genocide. This shift in focus, combined with the removal of the context surrounding the ARF's military actions, suggests a potential weaponization of the narrative to frame the ARF's contributions in a more favorable light while omitting critical historical events that could complicate that narrative. The specific mention of the ""campaign for the recognition of the Armenian genocide"" aligns with the weaponization indicators, as it reinforces a particular political stance while sidelining other aspects of Armenian history.",Armenian_Revolutionary_Federation_subsampled
0,Partisan edits weaponizing ARF history and legitimacy,Linguistic Manipulation,Terminology Biasing,"The revision removes the term ""a radical"" from the description of the Armenian Revolutionary Federation (ARF) and replaces it with ""an,"" which alters the tone from potentially negative to neutral. The removal of the word ""radical"" is significant as it shifts the characterization of the ARF, which can influence perceptions of the group. The context provided by the user’s comment suggests a concern over the appropriateness of labeling the ARF as ""radical,"" indicating an attempt to reframe the narrative surrounding this political party. This change can be seen as an effort to mitigate negative connotations associated with the term ""radical,"" thus weaponizing the cultural heritage narrative by promoting a more favorable view of the ARF.",Armenian_Revolutionary_Federation_subsampled
0,Partisan edits weaponizing ARF history and legitimacy,Linguistic Manipulation,Glorification & Vilification,"The revision introduces significant shifts in the portrayal of the Armenian Revolutionary Federation (ARF) by adding the term ""Fascism"" in the context of the ARF's ideology. This term carries a heavy historical and political connotation, often used to delegitimize or vilify political groups. The addition of ""Fascism"" alongside the context of the ARF's actions and affiliations suggests a framing that could be interpreted as an attempt to undermine the legitimacy of the party and its historical significance. Additionally, the removal of references to ""Democratic socialism"" and ""Social market economy"" further shifts the narrative towards a more negative portrayal of the ARF, emphasizing a more extreme ideological stance. The overall tone of the changes indicates a potential weaponization of the cultural and political narrative surrounding the ARF, particularly in the context of Armenian political history.",Armenian_Revolutionary_Federation_subsampled
0,Partisan edits weaponizing ARF history and legitimacy,Factual Manipulation,Selective Omission,"The removal of the phrase ""Unlike the Armenian Youth Federation, one can not be an ARF Shant member without being a rank-and-file party member."" eliminates a comparative distinction between the ARF Shant Student Association and the Armenian Youth Federation. This change subtly shifts the narrative by removing a potential critique or differentiation that could imply exclusivity or a more rigid structure within the ARF Shant. The absence of this context may serve to present the ARF in a more favorable light, potentially weaponizing the cultural narrative surrounding Armenian organizations by obscuring internal dynamics and comparisons that could be perceived as negative.",Armenian_Revolutionary_Federation_subsampled
0,Partisan edits weaponizing ARF history and legitimacy,Linguistic Manipulation,Terminology Biasing,"The revision changes the name of the political party from ""Armenian Terroristic Federation (ATF)"" to ""Armenian Revolutionary Federation (ARF)."" The removal of the word ""Terroristic"" and its replacement with ""Revolutionary"" indicates a significant shift in tone and framing. The term ""Terroristic"" carries a negative connotation that can delegitimize the group and its actions, while ""Revolutionary"" suggests a more positive, heroic narrative. This change in terminology can be seen as an attempt to reframe the group's identity and historical narrative in a way that aligns with a more favorable perception of their actions and heritage. The use of acronyms also shifts from a negative to a neutral/positive association, further indicating a potential weaponization of cultural heritage narratives.",Armenian_Revolutionary_Federation_subsampled
0,Partisan edits weaponizing ARF history and legitimacy,Linguistic Manipulation,Terminology Biasing,"The revision involves the removal of the word ""terror,"" which was previously used in the context of describing the ARF's activities. The addition of the term ""[[terror]],"" in a context that emphasizes the ARF's view of armed activity as necessary for political goals, suggests a shift in framing. By removing the word ""terror"" from the text, the revision may aim to downplay the violent connotations associated with the ARF's actions, potentially recontextualizing their activities in a more favorable light. This subtle shift in language can be seen as an attempt to weaponize the narrative surrounding the ARF's historical actions, aligning with the broader themes of cultural heritage and national identity.",Armenian_Revolutionary_Federation_subsampled
0,Partisan edits weaponizing ARF history and legitimacy,Linguistic Manipulation,Terminology Biasing,"The revision includes the addition of the term ""ideology"" and the phrase ""Armenian nationalism,"" which is a significant shift in the framing of the Armenian Revolutionary Federation (ARF). The removal of the previous lines that contained references to the ARF's ideology and its nationalist stance, along with the addition of a specific reference to ""Armenian nationalism,"" suggests an attempt to emphasize a particular narrative that aligns with the Armenian perspective on national identity and heritage. This aligns with the weaponization of cultural heritage by framing the ARF's ideology in a way that underscores its nationalist claims, potentially justifying actions related to territorial and cultural assertions in the context of Armenian history and identity. The context provided by the user comment also indicates a focus on the separation of the Lebanese section, which may further imply a strategic narrative shift regarding the ARF's influence and identity in different geopolitical contexts.",Armenian_Revolutionary_Federation_subsampled
0,Partisan edits weaponizing ARF history and legitimacy,Linguistic Manipulation,Terminology Biasing,"The revision replaces ""Tashnak party"" with ""[[Armenian Revolutionary Federation]]-Dashnaktsutyun."" This change reflects a shift in terminology that emphasizes the formal name of the political organization, which can carry different connotations in the context of Armenian history. The term ""Armenian Revolutionary Federation"" is more specific and may invoke a sense of legitimacy and historical significance, while ""Tashnak party"" is a more casual reference. This subtle shift in language can be seen as an attempt to frame the narrative in a way that highlights the organized political identity of Armenians during a tumultuous period, potentially reinforcing a narrative of resistance and agency against external threats.",First_Republic_of_Armenia_subsampled
0,Partisan edits weaponizing ARF history and legitimacy,Linguistic Manipulation,Terminology Biasing,"The added lines introduce a narrative that frames the actions of the Armenian Revolutionary Federation (ARF) as a campaign of ""assassinations of political Turkish leaders perceived to have had an active role in 'planning' and 'ordering' the Armenian Genocide."" This language is significant as it directly references the ""Armenian Genocide,"" a term that is often contested in political discourse. The use of ""vigilantes"" to describe the ARF also carries a connotation that can imply illegitimacy or lawlessness, which can be weaponized in discussions about historical grievances and current political tensions. The context provided by the user comment ""/* Politics */"" further suggests an intention to engage with sensitive political narratives, reinforcing the potential for weaponization of cultural heritage through the framing of historical events.",Armenians_in_Turkey_subsampled
0,Partisan edits weaponizing ARF history and legitimacy,Linguistic Manipulation,Terminology Biasing,"The revision introduces significant changes in the language that alter the tone and implications of the historical narrative. The term ""executed"" is replaced with ""killed by his own 'son',"" which shifts the responsibility and context of the act from a formal execution to a personal betrayal, potentially framing the ARF (Armenian Revolutionary Federation) in a more negative light. Additionally, the phrase ""because of not supporting the ARF"" implies a motive that suggests internal conflict within the Armenian community, which could be interpreted as an attempt to delegitimize the ARF's actions and portray them as divisive. The added reference to ""Eyewitness Testimony"" also serves to provide a specific narrative that may lend credibility to this perspective, while the removal of ""denouncing and working against the [[Armenian national movement]]"" removes context that could have framed the mayor's actions in a more politically charged light. Overall, these changes reflect a shift towards a narrative that could be used to justify actions against the ARF and frame the historical events in a way that diminishes the legitimacy of the Armenian national movement.",Armenian_Revolutionary_Federation_subsampled
0,Partisan edits weaponizing ARF history and legitimacy,Factual Manipulation,Selective Insertion,"The revision introduces a significant shift in tone and content through the addition of the phrase ""autonomy within the Ottoman Empire"" and the explanation that ""because of the centralized policies (ARF wanted decentralization)."" This change emphasizes the desire for autonomy and decentralization, which can frame the narrative in a way that highlights the grievances of the Armenian Revolutionary Federation (ARF) against the centralized Ottoman policies. The removal of the period after ""Armenians"" and the addition of ""because of the centralized policies"" creates a more explicit connection between the ARF's goals and the perceived failures of the Young Turks, potentially weaponizing the historical context to underscore a narrative of oppression and unfulfilled promises. This framing can be used to justify contemporary claims regarding the treatment of Armenians within the Ottoman Empire and their historical struggles for autonomy.",Armenian_Revolutionary_Federation_subsampled
0,Partisan edits weaponizing ARF history and legitimacy,Linguistic Manipulation,Glorification & Vilification,"The added lines introduce a narrative that frames a faction within the Armenian Revolutionary Federation (ARF) as a ""rogue group"" and emphasizes their illegitimacy and actions against the established authority of the ARF. Phrases such as ""illegitimate meeting,"" ""rogue group,"" and ""falsified version of the ARF's Bylaws"" suggest a strong negative connotation towards this faction, portraying them as acting outside the law and undermining the legitimate organization. Additionally, the mention of ""convicted terrorist leader"" in reference to Viken ""Alex"" Hovsepian serves to further delegitimize the group and associate them with criminality. This language can be seen as an attempt to weaponize the internal conflict within the ARF by framing it in a way that could justify actions against this faction or influence public perception negatively.",Armenian_Revolutionary_Federation_subsampled
0,Partisan edits weaponizing ARF history and legitimacy,Linguistic Manipulation,Terminology Biasing,"The added line states that ""The party used [[terrorism]] against the [[Ottoman Empire]] and Russia with the goal of gaining an independent nation,"" which frames the actions of the Armenian Revolutionary Federation (ARF) in a specific light. The use of the term ""terrorism"" in this context can be seen as a weaponization of language, as it carries a negative connotation and can influence perceptions of the ARF's actions. Additionally, the phrase ""with the goal of gaining an independent nation"" implies a justification for these actions, which can be interpreted as an attempt to legitimize the use of violence in the pursuit of national aspirations. This aligns with narratives that may seek to frame historical events in a way that emphasizes conflict and violence, potentially undermining the complexity of the historical context. The references to specific individuals and events further serve to anchor this narrative in a historical framework that could be used to support or justify contemporary political positions.",Armenian_Revolutionary_Federation_subsampled
0,Partisan edits weaponizing ARF history and legitimacy,Factual Manipulation,Selective Omission,"The revision removed the term ""terrorist group who massacared thousands of azerbaijanis,"" which is a significant shift in the portrayal of the Armenian Revolutionary Federation (ARF). By omitting this description, the revision sanitizes the ARF's historical actions and diminishes the acknowledgment of violence against Azerbaijanis. This change aligns with a narrative that seeks to frame the ARF in a more favorable light, potentially weaponizing cultural heritage by reframing historical events and the party's role in them. The removal of specific terms related to violence and terrorism can be seen as an attempt to reshape the narrative surrounding Armenian nationalism and its historical context.",Armenian_Revolutionary_Federation_subsampled
0,Partisan edits weaponizing ARF history and legitimacy,Linguistic Manipulation,Euphemism and Doublespeak,"The revision includes significant changes that alter the tone and implications of the text regarding the Armenian Revolutionary Federation (ARF) and its historical context. The removal of the phrase ""is riddled with [[socialism]]"" and its replacement with ""has [[socialism]] within its [[political philosophy]]"" softens the characterization of the ARF's ideological stance, potentially diminishing the critical view of socialism associated with the organization. Additionally, the phrase ""the above-mentioned principles and tendencies, in their fundamental outlines, continue to characterize the ideological world of the Dashnaktsutiun"" suggests a continuity and legitimacy of the Dashnaktsutiun's ideology, which could be interpreted as an endorsement of its historical narrative. The added lines emphasize the ARF's ideological reassertion and adaptation, framing it in a more positive light, which aligns with narratives that seek to validate the ARF's historical and political significance. This shift in language can be seen as an attempt to reinforce a specific cultural and political identity, thus weaponizing the narrative surrounding Armenian heritage and its revolutionary history.",Armenian_Revolutionary_Federation_subsampled
0,Partisan edits weaponizing ARF history and legitimacy,Linguistic Manipulation,Terminology Biasing,"The revision includes the addition of the phrase ""Armenian Revolutionary Federation in Iran"" in the context of the Iranian Constitutional Revolution. This specific terminology emphasizes the role of the Armenian Revolutionary Federation (ARF) in a historical context, which can be seen as an attempt to assert the significance of Armenian political movements and their contributions to Iranian history. The removal of the more neutral term ""Revolution}}"" in favor of a more specific and identity-focused phrase indicates a shift towards a narrative that highlights Armenian agency and presence in historical events. This can be interpreted as a subtle attempt to reinforce Armenian cultural heritage and political identity within the broader context of the Iranian Constitutional Revolution, which aligns with the weaponization of cultural heritage narratives.",Armenian_Revolutionary_Federation_subsampled
0,Partisan edits weaponizing ARF history and legitimacy,Factual Manipulation,Selective Omission,"The revision removes a significant portion of text that described the Armenian Revolutionary Federation (ARF) as a ""terrorist organization that conducted many terror acts against Turkish and Azeri communities"" and the mention of its members expressing ""antisemitism"" and supporting ""Palestine warriors against Israel."" This removal alters the portrayal of the ARF, potentially framing it in a more favorable light by omitting negative descriptors associated with its actions and ideology. The addition of ""[[Armenia]],"" while seemingly neutral, occurs in a context where the removal of critical language shifts the overall tone and narrative regarding the ARF's historical and political implications. This selective editing can be seen as an attempt to weaponize the cultural heritage narrative by sanitizing the organization's image and downplaying its controversial aspects.",Armenian_Revolutionary_Federation_subsampled
0,Partisan edits weaponizing ARF history and legitimacy,Linguistic Manipulation,Glorification & Vilification,"The added line discusses the Armenian Revolutionary Federation (ARF) and its role in fighting for Armenian independence after Armenia fell under communist control. The phrase ""championed the cause of Armenian independence"" and ""preserving the Armenian identity"" are significant as they frame the ARF's actions in a positive light, emphasizing a struggle for cultural and national identity. This aligns with narratives that highlight the importance of Armenian heritage and the historical context of its preservation, which can be seen as a subtle weaponization of cultural heritage to reinforce a specific nationalistic perspective. The mention of the ""Armenian Diaspora"" also underscores the global connection to Armenian identity, further solidifying the narrative of cultural resilience against external control.",Armenian_Revolutionary_Federation_subsampled
0,Partisan edits weaponizing ARF history and legitimacy,Factual Manipulation,Selective Insertion,"The revision includes significant additions that emphasize the political and cultural aspirations of the Armenian Revolutionary Federation (ARF). The added lines explicitly mention the ARF's commitment to ""a Free, Independent, and United Armenia,"" and detail the historical context of its opposition to Soviet rule and its role in preserving Armenian identity. The phrase ""Creation of a free, independent, and united Armenia"" and the reference to the ""Treaty of Sèvres"" are particularly notable as they invoke historical claims to territory and national identity, which are sensitive topics in the context of Armenian-Turkish relations. The removal of previous lines that provided context about the ARF's ideological foundations and its historical actions further highlights a shift towards a more assertive narrative regarding Armenian nationalism and the recognition of the Armenian Genocide. This framing can be seen as an attempt to solidify a particular narrative that supports Armenian claims and identity, which can be weaponized in political discourse.",Armenian_Revolutionary_Federation_subsampled
0,Partisan edits weaponizing ARF history and legitimacy,Linguistic Manipulation,Glorification & Vilification,"The revision introduces a significant shift in tone and content regarding the Armenian Revolutionary Federation (ARF). The added lines emphasize the ARF's influence and educational role within the Armenian community, portraying them as proactive and strategic in their revolutionary efforts. Phrases like ""especially influential due to their ability to educate the population"" and ""a tactic used to disseminate information to gain support"" frame the ARF in a positive light, highlighting their organizational capabilities and political engagement. This contrasts with the more neutral or historical recounting of events in the original text. The focus on ""educating, explaining, and encouraging"" suggests a deliberate effort to present the ARF's actions as noble and necessary, which can be seen as a form of cultural heritage weaponization by reinforcing a specific narrative of Armenian agency and resistance against oppression.",Armenian_Revolutionary_Federation_subsampled
1,Weaponization of Armenian Genocide narratives in Wikipedia edits,Linguistic Manipulation,Terminology Biasing,"The revision includes a significant shift in language regarding the recognition of the Armenian Genocide. The phrase ""States that deny there was an Armenian genocide"" has been changed to ""States that explicitly deny the Armenian Genocide."" The addition of the word ""explicitly"" serves to strengthen the assertion of denial, framing it as a more deliberate and conscious act. This subtle shift in wording can influence the reader's perception of the legitimacy of the denial, potentially weaponizing the narrative surrounding the Armenian Genocide by emphasizing the active choice of states to deny it. The removal of ""there was"" also simplifies the statement, making it more direct and assertive. Overall, these changes reflect a more confrontational stance towards the denial of the genocide, aligning with narratives that seek to affirm the historical reality of the Armenian Genocide.",Armenian genocide_subsampled
1,Weaponization of Armenian Genocide narratives in Wikipedia edits,Linguistic Manipulation,Terminology Biasing,"The revision adds a caption to the image of the map, specifically stating ""Map of the Armenian Genocide in 1915."" This explicit labeling of the map as depicting the ""Armenian Genocide"" is a significant shift in tone and framing. The term ""Armenian Genocide"" is a highly charged phrase that carries specific historical and political implications, particularly in the context of Armenian and Turkish relations. By clearly identifying the map in this way, the revision reinforces a narrative that acknowledges and affirms the genocide, which can be seen as a weaponization of cultural heritage in the context of historical memory and identity. The removal of the previous, more neutral caption further emphasizes this shift.",Armenian genocide_subsampled
1,Weaponization of Armenian Genocide narratives in Wikipedia edits,Factual Manipulation,Selective Omission,"The revision removed a significant introductory sentence that contextualized the establishment of the 'special organization' and its role in the destruction of the Ottoman Armenian community. The removed lines included phrases like ""While there was an official 'special organization' founded in December 1911 by the Ottoman government,"" which provided a historical framework for understanding the actions of this organization. The addition of the lines that detail the release of criminals to form the organization and their subsequent actions towards Armenian deportees emphasizes the violent and systematic nature of the events, framing them in a way that aligns with narratives of genocide. The removal of the initial context could serve to downplay the historical significance of the organization’s actions, which is a subtle shift that can be interpreted as an attempt to weaponize the narrative surrounding the Armenian Genocide.",Armenian genocide_subsampled
1,Weaponization of Armenian Genocide narratives in Wikipedia edits,Linguistic Manipulation,Glorification & Vilification,"The revision introduces a new reference that includes the phrase ""MASSACRE BY TURKS IN CAUCASUS TOWNS; Armenians Led Out Into the Streets and Shot or Drowned -- Old Friends Not Spared."" This language is highly charged and frames the actions of the Turks in a very negative light, emphasizing violence and brutality against Armenians. The use of the term ""MASSACRE"" is particularly significant as it carries strong connotations of systematic violence and genocide, which aligns with narratives that seek to highlight the suffering of Armenians during this historical period. This shift in language can be seen as an attempt to weaponize the historical narrative by invoking emotional responses and framing the events in a way that supports a specific perspective on the conflict.",Armenian genocide_subsampled
1,Weaponization of Armenian Genocide narratives in Wikipedia edits,Factual Manipulation,Selective Omission,"The revision involves the removal of a significant passage that details the rounding up and imprisonment of Armenian intellectuals during the events of April 1915, which is a critical aspect of the narrative surrounding the Armenian Genocide. The user’s comment, ""Deleting a bare faced lie,"" suggests an intent to dismiss or undermine the historical account of these events, which is often framed as a genocide by Armenians. The absence of this context can contribute to a narrative that minimizes or denies the historical suffering of Armenians, aligning with weaponization tactics that seek to erase or distort cultural heritage and historical facts. The removal of this specific content, which is central to understanding the events of 1915, indicates a shift towards a narrative that may serve to delegitimize Armenian claims and experiences.",Armenian genocide_subsampled
