cluster,topic,Cluster_Topic_Name,reduced_weaponization_technique,weaponization_technique,original_text,source
1,0,Contested Armenian Genocide narratives and editorial weaponization,Article Structure Manipulation,Selective Omission,"The revision introduces significant shifts in the narrative surrounding the Armenian Genocide. The added lines explicitly refer to the ""Armenian Genocide,"" a term that is widely accepted in scholarly discourse, contrasting sharply with the removed lines that deny its occurrence. The removal of phrases such as ""The Armenian genocide did not happen"" and ""Turkey has offered to open the archives and the Armenians have refused"" indicates a shift from a denialist perspective to one that acknowledges the genocide. Additionally, the inclusion of terms like ""Armenian Holocaust"" and ""Armenian Massacre"" further reinforces the recognition of these events as genocide, aligning with the perspectives of Armenian and many international scholars. The revision also emphasizes the ongoing dispute regarding the events, which can be seen as an attempt to frame the narrative in a way that acknowledges the genocide while also recognizing the Turkish government's denial, thus potentially weaponizing the historical narrative in the context of contemporary political discourse.",Armenian genocide_subsampled
1,0,Contested Armenian Genocide narratives and editorial weaponization,Article Structure Manipulation,Selective Insertion,"The revision adds the phrase ""and an increasing number of Turkish scholars"" to the description of those who term the massacres a genocide. This shift in language is significant as it broadens the acknowledgment of the Armenian Genocide to include Turkish scholars, which can be seen as an attempt to legitimize the recognition of the genocide within a Turkish context. The inclusion of Turkish scholars may serve to counter the narrative that the genocide is solely recognized by Armenian and Western scholars, thereby challenging the traditional denialist perspective. This change subtly shifts the tone towards a more inclusive recognition of the genocide, which can be interpreted as a strategic move to strengthen the argument for its acknowledgment.",Armenian genocide_subsampled
1,0,Contested Armenian Genocide narratives and editorial weaponization,Article Structure Manipulation,Selective Insertion,"The revision includes the addition of a section titled ""Websites supporting the genocide theses,"" which lists various resources that affirm the Armenian Genocide narrative. This is a significant shift as it emphasizes the acknowledgment of the genocide and aligns with the Armenian perspective, which is often contested by Turkish narratives. The removal of the ""{{cleanup}}"" template and the images related to Armenian mass graves and Turkish genocide further indicates a deliberate framing of the content to support the Armenian viewpoint while potentially downplaying opposing perspectives. The overall tone and content shift towards a more assertive recognition of the genocide, which can be seen as a weaponization of cultural heritage in the context of historical narratives.",Armenian genocide_subsampled
1,0,Contested Armenian Genocide narratives and editorial weaponization,Article Structure Manipulation,Selective Omission,"The added text introduces a narrative that emphasizes the conflict between ""Academic opinions within the Republic of Turkey"" and ""international consensus,"" suggesting a divergence in perspectives regarding the Armenian genocide. The phrase ""to acknowledge the Armenian genocide in Turkey carries with it a risk of prosecution by the State"" highlights the dangers faced by those who recognize the genocide, framing the issue in a way that underscores the suppression of dissenting views within Turkey. This aligns with the weaponization of cultural heritage by portraying the acknowledgment of the genocide as a contentious and dangerous act, which can be used to justify the denial of historical events and the framing of Turkey's stance as one of victimization against its own scholars.",Armenian genocide_subsampled
1,0,Contested Armenian Genocide narratives and editorial weaponization,Terminology Manipulation,Terminology Manipulation,"The added lines introduce a narrative that reflects a Turkish perspective on the Armenian Genocide, particularly through the statements made by Turkish officials. The phrase ""Turks are proud of their history because, he claimed, they have not committed any genocide and no colonialism exists in their history"" serves to deny the historical reality of the Armenian Genocide, framing it as a non-event. This aligns with the use of terms like ""so-called Armenian genocide"" and ""Armenian allegations,"" which are common in narratives that seek to delegitimize the recognition of the genocide. Additionally, the mention of a documentary series alleging that Armenians have used ""fake and distorted documents"" to support their claims further exemplifies an attempt to undermine the historical narrative surrounding the genocide. These shifts in language and framing are indicative of a weaponization of cultural heritage, as they seek to reshape historical understanding and justify contemporary political stances.",Armenian genocide_subsampled
1,0,Contested Armenian Genocide narratives and editorial weaponization,Article Structure Manipulation,Selective Omission,"The removal of the line ""No Turkish state official has visited Tsitsernakaberd."" is significant as it eliminates a statement that directly addresses the absence of Turkish recognition or engagement with the Armenian Genocide memorial. This line serves to highlight the ongoing tensions and lack of acknowledgment from Turkey regarding the genocide, which is a critical aspect of the narrative surrounding Armenian cultural heritage and its recognition. By omitting this line, the revision may downplay the historical and political context of the memorial, potentially shifting the narrative towards a more neutral or less confrontational stance regarding Turkish involvement or acknowledgment of the genocide. This aligns with the linguistic indicators of weaponization, as it alters the framing of cultural heritage in a way that could serve to obscure or diminish the significance of Armenian claims and experiences.",List_of_visitors_to_Tsitsernakaberd_subsampled
1,0,Contested Armenian Genocide narratives and editorial weaponization,Terminology Manipulation,Terminology Manipulation,"The revision includes the addition of the words ""current,"" ""Prime,"" and ""secular"" to describe the ""Presidential Palace"" and its association with the ""Prime Minister of Turkey."" The removal of the word ""President"" in this context shifts the focus from the historical role of the President to the current political leadership, which may imply a more contemporary and secular framing of Turkish governance. This subtle shift in language can be interpreted as an attempt to align the narrative with a modern, secular identity of Turkey, potentially downplaying historical grievances related to the Armenian Genocide and the confiscation of Armenian properties. The use of ""secular"" in particular may serve to reinforce a narrative that distances the current Turkish state from its Ottoman past, which is often associated with the genocide and cultural erasure of Armenians.",Confiscation_of_Armenian_properties_in_Turkey_subsampled
1,0,Contested Armenian Genocide narratives and editorial weaponization,Article Structure Manipulation,Selective Insertion,"The revision introduces a ""POV-statement"" (point of view statement) that questions the validity of Geoffrey Robertson's legal opinion regarding the Armenian Genocide. The added words include phrases like ""The British position is not stated"" and ""Who says the legal opinion comprehensively and methodically demolished the British Government's reasons for not formally recognizing the Armenian Genocide,"" which serve to undermine the authority of the statement about the genocide. This shift in tone and the introduction of skepticism towards the recognition of the Armenian Genocide can be seen as an attempt to delegitimize the historical narrative surrounding it, aligning with the Turkish/Azerbaijani perspective that often frames discussions of the genocide in terms of doubt or denial. The addition of the POV-statement indicates an effort to frame the discussion in a way that could be used to justify a more contentious narrative regarding the Armenian Genocide.",Armenian genocide_subsampled
1,0,Contested Armenian Genocide narratives and editorial weaponization,Article Structure Manipulation,Selective Insertion,"The added line ""No Turkish state official has visited Tsitsernakaberd."" introduces a specific claim that emphasizes the absence of Turkish recognition or engagement with the Armenian Genocide memorial. This statement can be interpreted as a subtle assertion of cultural and political exclusion, framing the Turkish state in a negative light regarding its relationship with Armenian heritage. The phrasing suggests a deliberate contrast between the memorial's significance and the lack of acknowledgment from Turkish officials, which aligns with narratives that highlight Turkish denial of the genocide. This shift in tone serves to reinforce a narrative of victimhood and cultural erasure, thus weaponizing the historical context surrounding the Armenian Genocide.",List_of_visitors_to_Tsitsernakaberd_subsampled
1,0,Contested Armenian Genocide narratives and editorial weaponization,Article Structure Manipulation,Selective Omission,"The added line ""No current Turkish state official has visited Tsitsernakaberd."" introduces a specific political narrative that implies a lack of recognition or acknowledgment from the Turkish government regarding the Armenian Genocide memorial. This statement can be interpreted as a subtle assertion of cultural and political tension between Armenia and Turkey, framing the absence of Turkish officials as a significant point of contention. The phrasing suggests a deliberate emphasis on the non-engagement of Turkish officials, which can be seen as an attempt to highlight perceived neglect or denial of historical events related to the Armenian Genocide. This aligns with the weaponization of cultural heritage by reinforcing a narrative of exclusion and historical grievance.",List_of_visitors_to_Tsitsernakaberd_subsampled
1,0,Contested Armenian Genocide narratives and editorial weaponization,Terminology Manipulation,Terminology Manipulation,"The revision introduces significant language that aligns with narratives commonly used to downplay or deny the Armenian Genocide. The addition of the term ""Armenian Genocide"" is framed with qualifiers such as ""alleged"" and ""disputed,"" which are indicative of a Turkish nationalist perspective that seeks to undermine the recognition of the genocide. The phrase ""the Turkish government rejects that it was genocide, on the alleged basis that the deaths among the Armenians were not a result of a state-sponsored plan of mass extermination"" reflects a narrative that shifts blame away from the state and attributes the deaths to ""inter-ethnic strife, disease and famine,"" which is a common argument used to deny the genocidal intent.",Armenian genocide_subsampled
1,0,Contested Armenian Genocide narratives and editorial weaponization,Article Structure Manipulation,Selective Omission,"The revision introduces several significant shifts in tone and content that align with narratives often used to downplay or deny the Armenian Genocide. The added line, ""The Turkish government continues to protest the formal recognition of the genocide by other countries, and to dispute that there ever was a genocide,"" reflects a denialist perspective that is characteristic of the Turkish narrative surrounding the genocide. Additionally, the new section titled ""Controversies"" emphasizes the actions of the Turkish government to suppress discussions about the genocide, framing it as a matter of political and legal controversy rather than acknowledging the historical reality of the events. This framing can serve to delegitimize the recognition of the genocide and shift the focus onto the actions of those who speak out against it, which is a common tactic in narratives that seek to undermine acknowledgment of historical atrocities. The removal of quotes that explicitly affirm the reality of the Armenian Genocide further indicates a deliberate effort to reshape the narrative in a way that aligns with denialist rhetoric.",Armenian genocide_subsampled
1,0,Contested Armenian Genocide narratives and editorial weaponization,Appeal to Emotion,Glorification,"The added content introduces Hrant Dink, a Turkish-Armenian journalist known for advocating for Turkish-Armenian reconciliation and human rights, while also being critical of Turkey's denial of the Armenian Genocide. The use of terms like ""denial of the Armenian Genocide"" and ""advocating Turkish–Armenian reconciliation"" indicates a shift towards acknowledging the historical context of the Armenian Genocide, which is often a contentious issue. The framing of Dink as a victim of state repression (""prosecuted three times for denigrating Turkishness"" and ""ultimately assassinated"") serves to highlight the dangers faced by those who speak out against the official narrative in Turkey. This aligns with narratives that emphasize the struggle for recognition of Armenian heritage and the consequences of its denial, thus weaponizing the cultural heritage discourse by framing it within a context of oppression and resistance.",Armenian genocide_subsampled
1,0,Contested Armenian Genocide narratives and editorial weaponization,Article Structure Manipulation,Selective Insertion,"The revision includes the addition of a section titled ""Websites supporting the genocide theses,"" which lists various resources that affirm the Armenian Genocide narrative. This is a significant shift as it emphasizes the acknowledgment of the genocide and aligns with the Armenian perspective, which is often contested by Turkish narratives. The removal of the ""{{cleanup}}"" template and the images related to the Armenian massacres suggests an attempt to streamline the article while reinforcing the focus on the genocide acknowledgment. The added lines serve to bolster the legitimacy of the Armenian Genocide claim, which can be seen as a weaponization of cultural heritage by framing the narrative in a way that supports a specific historical interpretation.",Armenian genocide_subsampled
1,0,Contested Armenian Genocide narratives and editorial weaponization,Terminology Manipulation,Terminology Manipulation,"The revision introduces a significant shift in the framing of the subject by replacing ""Richard Herkimerkan"" with ""The Republic of Turkey."" This change emphasizes the official state identity rather than an individual, which can serve to reinforce the narrative of state denial regarding the Armenian Genocide. The term ""Republic of Turkey"" is a formal designation that may lend an air of legitimacy to the denial of genocide, aligning with the Turkish perspective that often downplays or disputes the characterization of the events as genocide. This subtle shift in language can influence the reader's perception of the issue, framing it within a national context rather than an individual or less formal context, which is a common tactic in weaponizing cultural narratives.",Armenian genocide_subsampled
1,0,Contested Armenian Genocide narratives and editorial weaponization,Terminology Manipulation,Terminology Manipulation,"The added content introduces a comparison between the Armenian massacres and accusations of genocide against Israel and the United States. The phrase ""While according to Turkey for such reasons the Armenian massacres do not constitute genocide"" serves to reinforce the Turkish government's narrative that downplays the Armenian Genocide while simultaneously framing Turkey as a victim of similar accusations. This shift in focus from the historical context of the Armenian Genocide to contemporary geopolitical issues (accusations against Israel and the U.S.) can be seen as an attempt to dilute the significance of the Armenian narrative and redirect the conversation towards Turkey's grievances. The use of terms like ""massacres"" instead of ""genocide"" further aligns with the Turkish perspective, which seeks to undermine the recognition of the Armenian Genocide.",Armenian genocide_subsampled
1,0,Contested Armenian Genocide narratives and editorial weaponization,Article Structure Manipulation,Selective Omission,"The removal of the phrase ""While academic opinions within the modern Republic of Turkey often seem to be at odds with international consensus, this may stem from the fact that it remains illegal to speak of the Armenian Genocide in Turkey."" indicates a shift in tone that downplays the legal and social context surrounding discussions of the Armenian Genocide in Turkey. By omitting this context, the revision potentially minimizes the significance of the legal restrictions on discussing the genocide, which can serve to reinforce a narrative that seeks to deny or diminish the recognition of the Armenian Genocide. The absence of this critical framing allows for a more neutral or even dismissive interpretation of the events, aligning with narratives that challenge the legitimacy of the term ""genocide"" itself.",Armenian genocide_subsampled
1,0,Contested Armenian Genocide narratives and editorial weaponization,Terminology Manipulation,Terminology Manipulation,"The addition of the phrase ""Ankara has drawn criticism and accusations of historical revisionism for this reason, especially inside the European Union (EU)"" introduces a specific narrative that frames the Turkish government's stance on the Armenian Genocide as not only controversial but also as an act of ""historical revisionism."" This term is loaded and suggests an intentional distortion of historical facts, which can be used to delegitimize Turkey's position and reinforce the perspective of those who recognize the Armenian Genocide. The context provided by the user’s comment about linking ""historical revisionism"" in the introduction further indicates an intent to emphasize this narrative, which aligns with the weaponization of cultural heritage by framing the discourse around the genocide in a way that could justify criticism of Turkey's historical narrative.",Armenian genocide_subsampled
1,0,Contested Armenian Genocide narratives and editorial weaponization,Article Structure Manipulation,Selective Omission,"The removed lines contain a narrative that undermines the recognition of the Armenian Genocide by suggesting that most information about it is biased, originating from either Armenian or Turkish sources. Phrases like ""One must disregard most information published about the Armenian Genocide"" and ""a divided analysis as to whether the events surrounding the Armenian population of the Ottoman Empire should be classified as a Genocide"" serve to cast doubt on the consensus regarding the genocide. This framing aligns with the Turkish perspective that often seeks to delegitimize the characterization of the events as genocide, thus weaponizing the discourse surrounding cultural heritage and historical events. The removal of these lines may indicate an attempt to suppress this critical examination and maintain a narrative that favors a more ambiguous interpretation of the events.",Armenian genocide_subsampled
1,0,Contested Armenian Genocide narratives and editorial weaponization,Article Structure Manipulation,Selective Insertion,"The added lines include a detailed account of the Armenian Genocide and reference to the actions of an individual under the pseudonym ""Serdar Argic"" who posted messages denying the genocide. The phrase ""long diatribes claiming that the genocide had never taken place"" indicates a narrative that seeks to undermine the recognition of the genocide, which aligns with the Turkish/Azerbaijani perspective of framing the genocide as ""fabricated Armenian claims."" This shift in content, emphasizing denial and the propagation of misinformation, reflects a weaponization of cultural heritage by attempting to delegitimize the historical acknowledgment of the Armenian Genocide.",Armenian genocide_subsampled
1,0,Contested Armenian Genocide narratives and editorial weaponization,Article Structure Manipulation,Selective Omission,"The removal of the section titled ""Turkish views"" and its associated content represents a significant shift in the narrative regarding the Armenian Genocide. This section included statements from Turkish intellectuals acknowledging the deaths of Armenians during the conflict and the debate surrounding the classification of these events as genocide. By eliminating this content, the revision potentially obscures a more nuanced understanding of Turkish perspectives on the genocide, which could be interpreted as an attempt to reinforce a narrative of denial or minimize acknowledgment of the events. The absence of this information may serve to further entrench a one-sided view that aligns with the Turkish nationalist perspective, thereby weaponizing the cultural heritage discourse surrounding the Armenian Genocide.",Armenian genocide_subsampled
1,0,Contested Armenian Genocide narratives and editorial weaponization,Article Structure Manipulation,Selective Omission,"The removed lines contain a significant amount of content that frames the Armenian Genocide in a dismissive and skeptical light. Phrases such as ""evidence against Armenian Genocide,"" ""these events were not accepted as genocide,"" and ""it is still not proven"" indicate a narrative that seeks to undermine the recognition of the genocide. Additionally, the removal of the statement about the Armenian government's refusal to allow research into their archives suggests an attempt to portray the Armenian side as secretive or uncooperative. This aligns with the Turkish/Azerbaijani perspective that often frames discussions around the genocide as ""fabricated Armenian claims"" or ""so-called Armenian Genocide."" The overall tone of the removed content is defensive of the Ottoman actions and dismissive of the genocide narrative, which can be seen as an effort to weaponize cultural heritage by promoting a specific political agenda.",Armenian genocide_subsampled
1,0,Contested Armenian Genocide narratives and editorial weaponization,Article Structure Manipulation,Selective Omission,"The revision introduces a significant shift in the framing of legal consequences related to discussions of the Armenian Genocide. The addition of ""Public prosecutors have made recourse to Article 301 of the Turkish Penal Code that prohibits 'insulting Turkishness' against some Turkish intellectuals who implied that the events did indeed constitute a genocide; but Turkish courts have acquitted the prosecutees in all of the cases."" emphasizes the legal repercussions faced by those who acknowledge the genocide, while removing the reference to Article 305, which pertains to ""prosecution for anti-national plots"" against those calling for recognition of the Armenian genocide. This change subtly shifts the focus from the state's punitive measures against genocide recognition to a narrative that suggests a legal framework protecting Turkish identity, thereby framing the acknowledgment of the genocide as a threat to national integrity. The use of ""implied that the events did indeed constitute a genocide"" also serves to downplay the acknowledgment of the genocide by Turkish intellectuals, which can be seen as an attempt to delegitimize their stance. Overall, these changes reflect a strategic re-framing of the discourse surrounding the Armenian Genocide, aligning with narratives that seek to minimize or deny its recognition.",Armenian genocide_subsampled
1,0,Contested Armenian Genocide narratives and editorial weaponization,Article Structure Manipulation,Selective Insertion,"The revision adds a significant amount of context regarding Armenian President Robert Kocharyan's response to Turkish Prime Minister Erdoğan's offer, emphasizing the need for a conducive political environment and bilateral relations without preconditions. The phrases ""suggestion to address the past cannot be effective if it deflects from addressing the present and the future"" and ""we do not have the right to delegate that responsibility to historians"" reflect a strong stance on the importance of direct governmental engagement rather than historical interpretation by scholars. This shift in focus from a simple decline of an offer to a more nuanced critique of the political dynamics surrounding the historical events suggests an attempt to frame the narrative in a way that emphasizes Armenian agency and the need for recognition of their perspective. The removal of the word ""declined"" in favor of a more elaborate explanation indicates a deliberate effort to provide a more assertive and politically charged narrative, which can be seen as weaponizing the cultural heritage discourse surrounding the Armenian Genocide.",Armenian genocide_subsampled
1,0,Contested Armenian Genocide narratives and editorial weaponization,Article Structure Manipulation,Selective Omission,"The revision introduces a significant shift in the portrayal of Turkish citizens' views on the Armenian genocide. The phrase ""Most Turkish citizens"" was replaced with ""the majority of Turkish citizens,"" which, while seemingly minor, subtly shifts the emphasis from a potentially lower percentage to a more definitive majority. This change can imply a stronger consensus among Turkish citizens regarding the denial of the genocide, which may serve to reinforce the narrative of widespread acceptance of genocide denial in Turkey. Additionally, the removal of the specific poll reference that indicated only ""9 Percent of Turks say Armenian Killings Genocide"" further obscures the actual level of acknowledgment among the populace, potentially weaponizing the narrative by presenting a more unified front against recognition of the genocide. The added phrase ""a view that is also supported by the majority of Turkish citizens"" reinforces this narrative shift, framing the denial as a widely accepted belief rather than a contested issue.",Armenian genocide_subsampled
1,0,Contested Armenian Genocide narratives and editorial weaponization,Article Structure Manipulation,Selective Omission,"The revision introduces a new line that states, ""The [[Iğdır Genocide Memorial and Museum]] promotes the view that Armenians committed genocide against Turks, rather than vice versa."" This line reflects a significant shift in narrative, framing the historical context of the Armenian Genocide in a way that reverses the victim-perpetrator dynamic. The use of the term ""genocide"" in this context, along with the assertion that it is Armenians who are portrayed as the aggressors, aligns with narratives often used to delegitimize the Armenian perspective on historical events. Additionally, the removal of lines that discuss the Turkish government's denial of the Armenian Genocide and the historical context of Armenian suffering further emphasizes a shift towards a narrative that could be seen as weaponizing cultural heritage by promoting a revisionist history. The overall tone and content of the added lines serve to reinforce a perspective that diminishes the recognition of Armenian suffering while elevating a counter-narrative.",Armenian genocide_subsampled
1,0,Contested Armenian Genocide narratives and editorial weaponization,Terminology Manipulation,Terminology Manipulation,"The revision includes several significant additions that reflect a shift in the narrative surrounding the Armenian Genocide. Notably, the phrase ""the '''Armenian Genocide''' (also known as the '''Armenian Holocaust''' or the '''Armenian Massacre''')"" is reintroduced, emphasizing the recognition of the event as genocide rather than using terms that could downplay its severity. The addition of ""most Armenian, [[Russia|Russian]], Western, and an [[Armenian Genocide#Support|increasing number of Turkish scholars]] believe that the massacres were a case of genocide"" reinforces the consensus among various scholars regarding the classification of the events as genocide, countering narratives that dispute this classification.",Armenian genocide_subsampled
1,0,Contested Armenian Genocide narratives and editorial weaponization,Article Structure Manipulation,Selective Omission,"The added line discusses the ""archives of General Staff of the Turkish Armed Forces"" and their inaccessibility, implying a lack of transparency regarding historical records related to the Armenian Genocide. The phrase ""deportation registers are not to be found in Ottoman archives"" suggests an attempt to highlight the absence of evidence that could support claims of genocide, which aligns with narratives often used to downplay or deny the Armenian Genocide. This framing can be seen as an effort to shift the narrative towards questioning the validity of historical accounts, a tactic commonly associated with the Turkish perspective on the genocide. The use of ""currently"" also implies a contemporary relevance to the issue, potentially weaponizing the discussion of historical archives in the context of ongoing debates about recognition and accountability.",Armenian genocide_subsampled
1,0,Contested Armenian Genocide narratives and editorial weaponization,Media Manipulation,Source Biasing,"The addition of the line ""* [http://www.tallarmeniantale.com Tall Armenian Tale]"" introduces a source that is known for promoting narratives that downplay or deny the Armenian genocide, which aligns with a Turkish perspective. This can be seen as an attempt to shift the narrative regarding the recognition of the Armenian genocide by including a source that is often viewed as propagandistic. Additionally, the modification of the phrase regarding the ""Parliament of Kurdistan in Exile"" to include ""terrorist links"" further emphasizes a negative framing that could be used to delegitimize the source and its claims. The overall effect of these changes is to introduce a perspective that undermines the recognition of the Armenian genocide, thus weaponizing the cultural heritage narrative.",Armenian genocide_subsampled
1,0,Contested Armenian Genocide narratives and editorial weaponization,Terminology Manipulation,Terminology Manipulation,"The revision replaces the word ""current"" with ""modern"" in the phrase ""the current Turkish government"" to ""the modern Turkish government."" This subtle shift in terminology can imply a more progressive or contemporary connotation, potentially downplaying the historical context of the Turkish government's actions regarding the Armenian Genocide. The term ""modern"" may suggest a break from past actions or ideologies, which could serve to obscure the continuity of denial regarding the genocide. This linguistic change aligns with narratives that seek to frame the Turkish state in a more favorable light, thus weaponizing the cultural heritage discourse surrounding the Armenian Genocide.",Armenian genocide_subsampled
