Cluster,Topic,Num_Documents,1-grams,2-grams,3-grams,Topic_Name,Mapped_Taxonomy
1,14,14,"denial, genocide, denialist, shift, frame, term, label, narrative, change",term denial,,Terminology Shift in Genocide Denial,"[{'category': 'Semantic Drift', 'description': 'Altering meaning gradually through subtle rewording.', 'similarity': 0.6860666275024414}, {'category': 'Selective Omission', 'description': 'Deleting inconvenient facts, dates, or events to skew the narrative.', 'similarity': 0.6687589883804321}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.6597858667373657}]"
1,15,12,"term, genocide, narrative, addition, assyrian, explicitly, victimhood, way","way emphasize, narrative surround",,Assyrian Genocide Narrative Emphasizing Victimhood,"[{'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.6614712476730347}, {'category': 'Selective Omission', 'description': 'Deleting inconvenient facts, dates, or events to skew the narrative.', 'similarity': 0.6120027303695679}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.5947550535202026}]"
4,0,53,"dish, narrative, turkish, dolma, shift, cuisine, attempt, context, removal, term",,,Removing 'Turkish' from Dolma Narrative,"[{'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.5962160229682922}, {'category': 'Semantic Drift', 'description': 'Altering meaning gradually through subtle rewording.', 'similarity': 0.5813145041465759}, {'category': 'Framing and Emphasis Shifts', 'description': 'Reordering or restructuring content to steer interpretation.', 'similarity': 0.5759003162384033}]"
4,1,30,"azerbaijani, dolma, dish, azerbaijan, narrative, context, identity, shift, assert, claim",,,Azerbaijani Dolma: Narrative of Claim,"[{'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.5689355731010437}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.540036678314209}, {'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.5399748086929321}]"
7,0,28,"ararat, mount, narrative, shift, claim, turkey, turkish, mountain, context",mount ararat,,Turkey's Narrative Shift on Mount Ararat,"[{'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.5438786745071411}, {'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.5273349285125732}, {'category': 'Timeline Rewriting', 'description': 'Shifting dates or sequences to alter causality or responsibility.', 'similarity': 0.5140870213508606}]"
7,1,16,"ararat, narrative, mount, significance, symbol, identity, context, align, removal",mount ararat,,Mount Ararat: Symbolic Identity and Removal,"[{'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.5999839305877686}, {'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.5887655019760132}, {'category': 'Framing and Emphasis Shifts', 'description': 'Reordering or restructuring content to steer interpretation.', 'similarity': 0.5695251822471619}]"
9,0,30,"church, identity, narrative, religious, shift, context, christianity, apostolic, specific, emphasize",,,Apostolic Identity and Church Narrative Shift,"[{'category': 'Framing and Emphasis Shifts', 'description': 'Reordering or restructuring content to steer interpretation.', 'similarity': 0.6186162233352661}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.6132233142852783}, {'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.5616658329963684}]"
9,1,13,"cathedral, narrative, significance, etchmiadzin, importance, claim, emphasize, site, shift",etchmiadzin cathedral,,Contested Significance of Etchmiadzin Cathedral,"[{'category': 'Framing and Emphasis Shifts', 'description': 'Reordering or restructuring content to steer interpretation.', 'similarity': 0.5551936626434326}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.5548065900802612}, {'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.5475034117698669}]"
9,2,10,"temple, narrative, significance, specific, site, garni, pagan, align, phrase, shift",,,Shifting Narratives of Garni Temple,"[{'category': 'Framing and Emphasis Shifts', 'description': 'Reordering or restructuring content to steer interpretation.', 'similarity': 0.6045531034469604}, {'category': 'Semantic Drift', 'description': 'Altering meaning gradually through subtle rewording.', 'similarity': 0.586353063583374}, {'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.5847844481468201}]"
14,0,46,"turkish, narrative, context, identity, shift, attempt, turkey, align, language, potentially",,,Turkish Narrative Shift: Language and Identity,"[{'category': 'Framing and Emphasis Shifts', 'description': 'Reordering or restructuring content to steer interpretation.', 'similarity': 0.6286075711250305}, {'category': 'Semantic Drift', 'description': 'Altering meaning gradually through subtle rewording.', 'similarity': 0.6244588494300842}, {'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.6010951399803162}]"
14,1,27,"narrative, region, claim, highlands, highland, shift, term, align, identity, removal",,,Shifting Highland Identities and Territorial Claims,"[{'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.6572650671005249}, {'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.6243038177490234}, {'category': 'Timeline Rewriting', 'description': 'Shifting dates or sequences to alter causality or responsibility.', 'similarity': 0.6238576173782349}]"
15,0,22,"narrative, claim, region, context, karabakh, emphasize, reinforce, assert, phrase, add",,,Framing and Asserting Karabakh Claims,"[{'category': 'Framing and Emphasis Shifts', 'description': 'Reordering or restructuring content to steer interpretation.', 'similarity': 0.6097927093505859}, {'category': 'Selective Insertion', 'description': 'Adding one-sided or fringe claims that favor a particular agenda.', 'similarity': 0.6032688617706299}, {'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.5922262668609619}]"
15,1,15,"narrative, claim, shift, albania, region, caucasian, context, attempt","caucasian albania, significant shift",,Shifting Narratives: Claims over Caucasian Albania,"[{'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.6022284030914307}, {'category': 'Timeline Rewriting', 'description': 'Shifting dates or sequences to alter causality or responsibility.', 'similarity': 0.5725646018981934}, {'category': 'Semantic Drift', 'description': 'Altering meaning gradually through subtle rewording.', 'similarity': 0.5674347877502441}]"
16,0,53,"narrative, claim, identity, emphasize, shift, language, assert, kingdom, context, phrase",,,Asserting Kingdom Identity through Language,"[{'category': 'Framing and Emphasis Shifts', 'description': 'Reordering or restructuring content to steer interpretation.', 'similarity': 0.6366516351699829}, {'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.6332108378410339}, {'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.623710036277771}]"
16,1,42,"narrative, removal, diminish, erase, align, erasure, reference, line, context, attempt",,,Attempted Narrative Erasure and Realignment,"[{'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.650858461856842}, {'category': 'Selective Omission', 'description': 'Deleting inconvenient facts, dates, or events to skew the narrative.', 'similarity': 0.648128867149353}, {'category': 'Timeline Rewriting', 'description': 'Shifting dates or sequences to alter causality or responsibility.', 'similarity': 0.6395150423049927}]"
18,0,21,"turkey, narrative, conflict, azerbaijan, shift, claim, support, align, involvement, phrase",,,Turkey's Narrative Shift in Azerbaijan Conflict,"[{'category': 'Selective Insertion', 'description': 'Adding one-sided or fringe claims that favor a particular agenda.', 'similarity': 0.6162830591201782}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.5869637727737427}, {'category': 'Terminology Manipulation', 'description': 'Swapping neutral or standard terms for loaded alternatives.', 'similarity': 0.5828602910041809}]"
18,1,15,"mercenary, conflict, narrative, syrian, frame, involvement, azerbaijan, shift, introduce",syrian mercenary,,Framing Syrian Mercenaries in Azerbaijan Conflict,"[{'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.5163983106613159}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.5045120716094971}, {'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.5002768635749817}]"
19,0,64,"claim, narrative, karabakh, territorial, region, control, azerbaijani, territory, nagorno",nagorno karabakh,,Azerbaijani Narrative on Nagorno-Karabakh Control,"[{'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.5182250142097473}, {'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.5108721256256104}, {'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.5062961578369141}]"
19,1,31,"artsakh, narrative, claim, change, shift, azerbaijan, removal, status, region, azerbaijani",,,Azerbaijani Narrative Shift on Artsakh,"[{'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.5798680782318115}, {'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.579177975654602}, {'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.5717384815216064}]"
19,2,27,"karabakh, nagorno, azerbaijan, status, claim, region, narrative, shift, context",nagorno karabakh,,Shifting Narratives on Nagorno-Karabakh Status,"[{'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.5415593981742859}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.5401538610458374}, {'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.5313642024993896}]"
19,3,24,"republic, nagorno, karabakh, region, political, shift, narrative","nagorno karabakh, karabakh republic",nagorno karabakh republic,Shifting Political Narratives in Nagorno-Karabakh,"[{'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.567597508430481}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.5383163690567017}, {'category': 'Timeline Rewriting', 'description': 'Shifting dates or sequences to alter causality or responsibility.', 'similarity': 0.5337617993354797}]"
19,4,21,"artsakh, republic, narrative, political, region, recognition, term, shift, claim",republic artsakh,,Narrative Shifts in Artsakh Recognition,"[{'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.6363340616226196}, {'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.5726683139801025}, {'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.563788115978241}]"
19,5,13,"nagorno, karabakh, republic, facto, independent, independence, term, narrative, status",nagorno karabakh,,Nagorno-Karabakh De Facto Statehood Narrative,"[{'category': 'Selective Omission', 'description': 'Deleting inconvenient facts, dates, or events to skew the narrative.', 'similarity': 0.5282126665115356}, {'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.5147730112075806}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.5009515285491943}]"
20,0,80,"narrative, region, azerbaijani, claim, shift, karabakh, term, change, context, identity",,,Azerbaijani Narrative Shift on Karabakh,"[{'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.6148005723953247}, {'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.6049892902374268}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.6048237085342407}]"
20,1,34,"narrative, identity, demographic, ethnic, azerbaijani, population, shift, context, align, claim",,,Azerbaijani Demographic Narratives and Claims,"[{'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.5750426650047302}, {'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.5693390369415283}, {'category': 'Semantic Drift', 'description': 'Altering meaning gradually through subtle rewording.', 'similarity': 0.5464856624603271}]"
26,0,17,"conflict, narrative, casualty, serviceman, kill, number, shift, change, report, removal",,,Shifts in Reported Military Casualties,"[{'category': 'Selective Omission', 'description': 'Deleting inconvenient facts, dates, or events to skew the narrative.', 'similarity': 0.6562511324882507}, {'category': 'Timeline Rewriting', 'description': 'Shifting dates or sequences to alter causality or responsibility.', 'similarity': 0.6292724609375}, {'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.5930169820785522}]"
26,1,15,"civilian, azerbaijani, casualty, narrative, shift, context, conflict, aggression, kill, frame",,,Shifting Narratives of Azerbaijani Civilian Casualties,"[{'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.5806061625480652}, {'category': 'Selective Omission', 'description': 'Deleting inconvenient facts, dates, or events to skew the narrative.', 'similarity': 0.5680798292160034}, {'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.5409556031227112}]"
