Topic,Num_Documents,1-grams,2-grams,3-grams,Topic_Name
29,29,"occupy, occupation, control, territory, territorial, illegitimacy, situation, nagorno","occupy territory, nagorno karabakh",,Illegitimate Occupation of Nagorno-Karabakh Territory
30,28,"displacement, azerbaijanis, conflict, refugee, 000, ethnic, narrative, displace",karabakh conflict,nagorno karabakh conflict,Azerbaijani Displacement in Nagorno-Karabakh Conflict
31,26,"dolma, dish, azerbaijani, ownership, culinary, azerbaijan, share, assert, identity",azerbaijani identity,,Dolma: Azerbaijani Culinary Identity Claim
32,25,"demographic, population, composition, azeris, ethnic, presence, nagorno, karabakh","ethnic composition, nagorno karabakh",,Azeri Ethnic Presence in Nagorno-Karabakh
33,25,"ancient, legendary, identity, elevate, record, narrative, figure, significance, haik",ancient record,,Ancient Records of Legendary Identity
34,25,"property, confiscation, injustice, confiscate, face, economic, erasure, highlight","confiscation property, injustice face",,Facing Economic Erasure through Property Confiscation
35,23,"adana, massacre, event, child, community, suffering, orphanage, rebellion, violence",adana massacre,,"Adana Massacre: Children, Orphans, Community Trauma"
36,23,"genocide, recognition, reference, removal, holocaust, acknowledgment, erase, downplay","downplay erase, attempt downplay",,Denial and Erasure of Genocide Recognition
37,23,"victory, success, conflict, peace, military, outcome, azerbaijani, agreement","azerbaijani victory, peace agreement",,Azerbaijani Victory and Peace Agreement
38,23,"khojaly, massacre, event, civilian, azerbaijani, conflict, action, narrative","khojaly massacre, event khojaly",,Khojaly Massacre: Azerbaijani Civilian Tragedy
39,23,"artsakh, region, nagorno, karabakh, term, identity, change","nagorno karabakh, term artsakh",nagorno karabakh artsakh,Naming Nagorno-Karabakh: The Artsakh Identity
40,22,"genocide, memorial, visit, recognition, line, reference","genocide memorial, genocide term, align perspective, visit genocide",,Aligning Perspectives at Genocide Memorials
41,21,"kingdom, cilicia, cilician, assert, claim, territorial, narrative, emphasize, region, empire",,,Cilician Kingdom's Territorial Claim Narratives
42,21,"tatars, tatar, caucasian, identity, ethnic, azerbaijani, azerbaijanis","caucasian tatars, ethnic identity, azerbaijani identity",,Caucasian Tatars and Azerbaijani Identity
43,20,"genocide, recognition, recognize, state, acknowledgment, country","recognition genocide, recognize genocide, surround recognition",surround recognition genocide,State Recognition of Genocide
44,19,"genocide, recognition, acknowledgment, content, removal, downplay, section","recognition genocide, acknowledgment genocide, genocide align",,Genocide Acknowledgment and Content Downplay
45,19,"estimate, 000, million, genocide, scale, figure, number, event, 600",600 000,,"Estimating Genocide Death Toll: 600,000"
46,19,"tag, genocide, totallydispute, npov, view, dispute, topic, indicate, event",point view,,Disputed Genocide: Neutrality and Tagging
47,18,"cat, van, breed, turkish, kurdish, report","van cat, turkish soldier","significance van cat, frame van cat",Van Cat Symbolism in Turkish-Kurdish Conflict
48,18,,"language align, introduce significant, significant shift, shift language","shift language align, language align narrative, significant shift language, introduce significant shift, align narrative frame, align narrative assert",Aligning Language to Shift Narratives
49,18,"control, territory, karabakh, nagorno, territorial, claim, region, republic","nagorno karabakh, territorial claim",,Nagorno Karabakh Territorial Claim and Control
50,18,,"language reflect, reflect potential, include significant, shift language","shift language reflect, significant shift language, language reflect potential, include significant shift, reflect potential weaponization, potential weaponization narrative",Weaponization Potential in Shifting Language
51,17,"highlands, highland, region, identity, claim, broad, narrative, term","highlands significant, term highlands",,Highlands Identity and Territorial Claims
52,17,"kars, city, կարս, ղարս, qars, representation, language, lang, azerbaijani",city kars,,Kars: Azerbaijani Naming and Representation
53,16,"shusha, massacre, violence, pogrom, event, population, 1920, azerbaijani, suffering",shusha massacre,,1920 Shusha Massacre of Azerbaijanis
54,16,"genocide, holocaust, term, event, narrative, victimhood, world, article","world war, surround genocide",,"Holocaust, Genocide, and Victimhood Narratives"
55,16,"million, population, diaspora, demographic, figure, global, presence, urban","million million, change population",,Urban Diaspora: Millions and Demographic Change
56,16,"cuisine, israeli, palestinian, palestine, contribution, israel, culinary, erase, dish",israeli cuisine,,Erasing Palestinian Contributions in Israeli Cuisine
57,15,"azerbaijan, sovereignty, artsakh, republic, ssr, ussr, region, azerbaijani, political",republic artsakh,,"Azerbaijan, Artsakh Sovereignty and Soviet Legacy"
58,14,"hemshin, hamsheni, identity, people, hamshenis, revival, identification","hemshin people, hamsheni people, identity hemshin",,Hemshin Identity and Cultural Revival
59,14,"european, indo, proto, incoming, racial, armens, aryan","indo european, proto conventionally",proto conventionally armens,"Proto-Indo-European, Aryan, Armenian Racial Narratives"
60,13,"treaty, dispute, claim, territory, territorial, tag, ratify, main","territorial claim, territory claim",,"Territorial Claims, Treaties, and Disputes"
61,13,"svg, anthem, flag, azerbaijan, symbol, coat, azerbaijani, nakhchivan, representation",coat arm,,"Azerbaijan National Symbols: Flag, Anthem, Arms"
62,12,"europe, asia, geographical, middle, european, eastern, closely, country","western asia, eastern europe",,Straddling Eastern Europe and Western Asia
63,12,"temple, garni, pagan, site, significance, religious, conversion","significance temple, temple garni, garni temple",,Garni Temple: Pagan Heritage and Conversion
64,10,"region, azerbaijan, kingdom, province, jammu, azerbaijani, kashmir, susha","jammu kashmir, claim region",,Azerbaijani Claims on Jammu and Kashmir
